Temperature - (Celsius), Year, Statistics, Country, ISO3
-8.0249, 1901, Jan Average, Sweden, SWE
-12.329, 1901, Feb Average, Sweden, SWE
-6.2524, 1901, Mar Average, Sweden, SWE
0.54099, 1901, Apr Average, Sweden, SWE
6.4277, 1901, May Average, Sweden, SWE
12.2437, 1901, Jun Average, Sweden, SWE
16.9711, 1901, Jul Average, Sweden, SWE
13.4123, 1901, Aug Average, Sweden, SWE
8.88281, 1901, Sep Average, Sweden, SWE
5.60824, 1901, Oct Average, Sweden, SWE
-5.5327, 1901, Nov Average, Sweden, SWE
-11.022, 1901, Dec Average, Sweden, SWE
-9.2019, 1902, Jan Average, Sweden, SWE
-10.31, 1902, Feb Average, Sweden, SWE
-7.9307, 1902, Mar Average, Sweden, SWE
-1.9926, 1902, Apr Average, Sweden, SWE
3.34355, 1902, May Average, Sweden, SWE
9.1485, 1902, Jun Average, Sweden, SWE
10.4424, 1902, Jul Average, Sweden, SWE
10.0862, 1902, Aug Average, Sweden, SWE
5.9092, 1902, Sep Average, Sweden, SWE
0.05946, 1902, Oct Average, Sweden, SWE
-4.208, 1902, Nov Average, Sweden, SWE
-8.7479, 1902, Dec Average, Sweden, SWE
-9.8701, 1903, Jan Average, Sweden, SWE
-4.5563, 1903, Feb Average, Sweden, SWE
-1.4993, 1903, Mar Average, Sweden, SWE
-0.8342, 1903, Apr Average, Sweden, SWE
5.63352, 1903, May Average, Sweden, SWE
10.2627, 1903, Jun Average, Sweden, SWE
12.1015, 1903, Jul Average, Sweden, SWE
10.992, 1903, Aug Average, Sweden, SWE
7.82091, 1903, Sep Average, Sweden, SWE
-0.9187, 1903, Oct Average, Sweden, SWE
-4.3941, 1903, Nov Average, Sweden, SWE
-6.0042, 1903, Dec Average, Sweden, SWE
-5.8235, 1904, Jan Average, Sweden, SWE
-12.343, 1904, Feb Average, Sweden, SWE
-6.3654, 1904, Mar Average, Sweden, SWE
0.77821, 1904, Apr Average, Sweden, SWE
4.48707, 1904, May Average, Sweden, SWE
10.1463, 1904, Jun Average, Sweden, SWE
12.2826, 1904, Jul Average, Sweden, SWE
11.1729, 1904, Aug Average, Sweden, SWE
7.78804, 1904, Sep Average, Sweden, SWE
2.7417, 1904, Oct Average, Sweden, SWE
-6.3918, 1904, Nov Average, Sweden, SWE
-10.227, 1904, Dec Average, Sweden, SWE
-10.305, 1905, Jan Average, Sweden, SWE
-7.2573, 1905, Feb Average, Sweden, SWE
-4.4186, 1905, Mar Average, Sweden, SWE
-1.851, 1905, Apr Average, Sweden, SWE
6.15789, 1905, May Average, Sweden, SWE
12.8291, 1905, Jun Average, Sweden, SWE
13.6002, 1905, Jul Average, Sweden, SWE
11.238, 1905, Aug Average, Sweden, SWE
7.12449, 1905, Sep Average, Sweden, SWE
-1.5174, 1905, Oct Average, Sweden, SWE
-4.278, 1905, Nov Average, Sweden, SWE
-5.2156, 1905, Dec Average, Sweden, SWE
-7.0441, 1906, Jan Average, Sweden, SWE
-7.4576, 1906, Feb Average, Sweden, SWE
-7.1035, 1906, Mar Average, Sweden, SWE
1.36357, 1906, Apr Average, Sweden, SWE
6.34782, 1906, May Average, Sweden, SWE
11.5, 1906, Jun Average, Sweden, SWE
13.6961, 1906, Jul Average, Sweden, SWE
11.0683, 1906, Aug Average, Sweden, SWE
7.46942, 1906, Sep Average, Sweden, SWE
2.65653, 1906, Oct Average, Sweden, SWE
-2.2215, 1906, Nov Average, Sweden, SWE
-8.3289, 1906, Dec Average, Sweden, SWE
-10.065, 1907, Jan Average, Sweden, SWE
-7.0721, 1907, Feb Average, Sweden, SWE
-2.931, 1907, Mar Average, Sweden, SWE
0.46388, 1907, Apr Average, Sweden, SWE
4.10619, 1907, May Average, Sweden, SWE
10.8547, 1907, Jun Average, Sweden, SWE
11.9114, 1907, Jul Average, Sweden, SWE
9.60621, 1907, Aug Average, Sweden, SWE
6.70468, 1907, Sep Average, Sweden, SWE
4.91712, 1907, Oct Average, Sweden, SWE
-1.7803, 1907, Nov Average, Sweden, SWE
-9.3765, 1907, Dec Average, Sweden, SWE
-7.7083, 1908, Jan Average, Sweden, SWE
-7.2955, 1908, Feb Average, Sweden, SWE
-6.4518, 1908, Mar Average, Sweden, SWE
0.00885, 1908, Apr Average, Sweden, SWE
4.71193, 1908, May Average, Sweden, SWE
9.95693, 1908, Jun Average, Sweden, SWE
13.4825, 1908, Jul Average, Sweden, SWE
12.4551, 1908, Aug Average, Sweden, SWE
7.11431, 1908, Sep Average, Sweden, SWE
3.98259, 1908, Oct Average, Sweden, SWE
-6.5215, 1908, Nov Average, Sweden, SWE
-6.0949, 1908, Dec Average, Sweden, SWE
-5.7693, 1909, Jan Average, Sweden, SWE
-9.7287, 1909, Feb Average, Sweden, SWE
-7.6707, 1909, Mar Average, Sweden, SWE
-2.2077, 1909, Apr Average, Sweden, SWE
2.87562, 1909, May Average, Sweden, SWE
10.5375, 1909, Jun Average, Sweden, SWE
12.7266, 1909, Jul Average, Sweden, SWE
11.3518, 1909, Aug Average, Sweden, SWE
7.53151, 1909, Sep Average, Sweden, SWE
4.47161, 1909, Oct Average, Sweden, SWE
-7.5811, 1909, Nov Average, Sweden, SWE
-7.8525, 1909, Dec Average, Sweden, SWE
-8.7867, 1910, Jan Average, Sweden, SWE
-4.2055, 1910, Feb Average, Sweden, SWE
-3.0109, 1910, Mar Average, Sweden, SWE
0.75557, 1910, Apr Average, Sweden, SWE
6.64142, 1910, May Average, Sweden, SWE
11.3084, 1910, Jun Average, Sweden, SWE
12.7478, 1910, Jul Average, Sweden, SWE
11.7176, 1910, Aug Average, Sweden, SWE
7.90483, 1910, Sep Average, Sweden, SWE
2.03062, 1910, Oct Average, Sweden, SWE
-5.1211, 1910, Nov Average, Sweden, SWE
-7.2779, 1910, Dec Average, Sweden, SWE
-7.4292, 1911, Jan Average, Sweden, SWE
-7.7822, 1911, Feb Average, Sweden, SWE
-4.2896, 1911, Mar Average, Sweden, SWE
0.09303, 1911, Apr Average, Sweden, SWE
7.403, 1911, May Average, Sweden, SWE
10.1817, 1911, Jun Average, Sweden, SWE
12.7491, 1911, Jul Average, Sweden, SWE
13.4928, 1911, Aug Average, Sweden, SWE
8.3363, 1911, Sep Average, Sweden, SWE
0.67252, 1911, Oct Average, Sweden, SWE
-4.4002, 1911, Nov Average, Sweden, SWE
-4.3519, 1911, Dec Average, Sweden, SWE
-13.145, 1912, Jan Average, Sweden, SWE
-11.459, 1912, Feb Average, Sweden, SWE
-3.3534, 1912, Mar Average, Sweden, SWE
-0.8073, 1912, Apr Average, Sweden, SWE
5.24702, 1912, May Average, Sweden, SWE
11.5632, 1912, Jun Average, Sweden, SWE
14.8225, 1912, Jul Average, Sweden, SWE
12.3168, 1912, Aug Average, Sweden, SWE
6.22526, 1912, Sep Average, Sweden, SWE
0.41765, 1912, Oct Average, Sweden, SWE
-4.4151, 1912, Nov Average, Sweden, SWE
-6.0554, 1912, Dec Average, Sweden, SWE
-11.483, 1913, Jan Average, Sweden, SWE
-6.4267, 1913, Feb Average, Sweden, SWE
-3.6254, 1913, Mar Average, Sweden, SWE
1.13941, 1913, Apr Average, Sweden, SWE
6.40487, 1913, May Average, Sweden, SWE
10.9313, 1913, Jun Average, Sweden, SWE
