Temperature - (Celsius), Year, Statistics, Country, ISO3
24.3056, 1901, Jan Average, Swaziland, SWZ
23.326, 1901, Feb Average, Swaziland, SWZ
20.715, 1901, Mar Average, Swaziland, SWZ
20.7646, 1901, Apr Average, Swaziland, SWZ
16.5724, 1901, May Average, Swaziland, SWZ
14.0937, 1901, Jun Average, Swaziland, SWZ
13.9358, 1901, Jul Average, Swaziland, SWZ
16.3471, 1901, Aug Average, Swaziland, SWZ
17.2942, 1901, Sep Average, Swaziland, SWZ
18.6878, 1901, Oct Average, Swaziland, SWZ
20.5646, 1901, Nov Average, Swaziland, SWZ
22.3316, 1901, Dec Average, Swaziland, SWZ
22.2133, 1902, Jan Average, Swaziland, SWZ
23.1463, 1902, Feb Average, Swaziland, SWZ
21.7918, 1902, Mar Average, Swaziland, SWZ
19.8482, 1902, Apr Average, Swaziland, SWZ
17.5739, 1902, May Average, Swaziland, SWZ
14.1111, 1902, Jun Average, Swaziland, SWZ
15.021, 1902, Jul Average, Swaziland, SWZ
15.9736, 1902, Aug Average, Swaziland, SWZ
18.1845, 1902, Sep Average, Swaziland, SWZ
18.7643, 1902, Oct Average, Swaziland, SWZ
20.2551, 1902, Nov Average, Swaziland, SWZ
22.7397, 1902, Dec Average, Swaziland, SWZ
23.6328, 1903, Jan Average, Swaziland, SWZ
22.9509, 1903, Feb Average, Swaziland, SWZ
21.6018, 1903, Mar Average, Swaziland, SWZ
19.6531, 1903, Apr Average, Swaziland, SWZ
17.9406, 1903, May Average, Swaziland, SWZ
14.1999, 1903, Jun Average, Swaziland, SWZ
14.328, 1903, Jul Average, Swaziland, SWZ
16.655, 1903, Aug Average, Swaziland, SWZ
17.7745, 1903, Sep Average, Swaziland, SWZ
19.4756, 1903, Oct Average, Swaziland, SWZ
20.2138, 1903, Nov Average, Swaziland, SWZ
22.276, 1903, Dec Average, Swaziland, SWZ
22.782, 1904, Jan Average, Swaziland, SWZ
22.0821, 1904, Feb Average, Swaziland, SWZ
21.0936, 1904, Mar Average, Swaziland, SWZ
19.9042, 1904, Apr Average, Swaziland, SWZ
17.3324, 1904, May Average, Swaziland, SWZ
15.2341, 1904, Jun Average, Swaziland, SWZ
14.5188, 1904, Jul Average, Swaziland, SWZ
16.1569, 1904, Aug Average, Swaziland, SWZ
17.5572, 1904, Sep Average, Swaziland, SWZ
19.2967, 1904, Oct Average, Swaziland, SWZ
