Temperature - (Celsius), Year, Statistics, Country, ISO3
26.9381, 1901, Jan Average, Seychelles, SYC
26.6849, 1901, Feb Average, Seychelles, SYC
27.2115, 1901, Mar Average, Seychelles, SYC
27.2633, 1901, Apr Average, Seychelles, SYC
26.7683, 1901, May Average, Seychelles, SYC
25.4872, 1901, Jun Average, Seychelles, SYC
25.5807, 1901, Jul Average, Seychelles, SYC
25.5224, 1901, Aug Average, Seychelles, SYC
26.0807, 1901, Sep Average, Seychelles, SYC
26.7417, 1901, Oct Average, Seychelles, SYC
26.5381, 1901, Nov Average, Seychelles, SYC
26.4015, 1901, Dec Average, Seychelles, SYC
26.4648, 1902, Jan Average, Seychelles, SYC
26.6748, 1902, Feb Average, Seychelles, SYC
28.0949, 1902, Mar Average, Seychelles, SYC
27.6216, 1902, Apr Average, Seychelles, SYC
26.9266, 1902, May Average, Seychelles, SYC
25.5872, 1902, Jun Average, Seychelles, SYC
25.3606, 1902, Jul Average, Seychelles, SYC
25.3023, 1902, Aug Average, Seychelles, SYC
26.1189, 1902, Sep Average, Seychelles, SYC
26.4266, 1902, Oct Average, Seychelles, SYC
26.8065, 1902, Nov Average, Seychelles, SYC
26.7482, 1902, Dec Average, Seychelles, SYC
26.9115, 1903, Jan Average, Seychelles, SYC
26.8165, 1903, Feb Average, Seychelles, SYC
27.5532, 1903, Mar Average, Seychelles, SYC
28.0783, 1903, Apr Average, Seychelles, SYC
26.8266, 1903, May Average, Seychelles, SYC
25.7139, 1903, Jun Average, Seychelles, SYC
24.8239, 1903, Jul Average, Seychelles, SYC
24.9606, 1903, Aug Average, Seychelles, SYC
26.1123, 1903, Sep Average, Seychelles, SYC
26.71, 1903, Oct Average, Seychelles, SYC
27.4799, 1903, Nov Average, Seychelles, SYC
26.5432, 1903, Dec Average, Seychelles, SYC
27.1582, 1904, Jan Average, Seychelles, SYC
26.4748, 1904, Feb Average, Seychelles, SYC
27.9366, 1904, Mar Average, Seychelles, SYC
27.1216, 1904, Apr Average, Seychelles, SYC
28.0899, 1904, May Average, Seychelles, SYC
26.2857, 1904, Jun Average, Seychelles, SYC
25.454, 1904, Jul Average, Seychelles, SYC
24.8656, 1904, Aug Average, Seychelles, SYC
26.049, 1904, Sep Average, Seychelles, SYC
26.805, 1904, Oct Average, Seychelles, SYC
27.2266, 1904, Nov Average, Seychelles, SYC
27.0532, 1904, Dec Average, Seychelles, SYC
