Temperature - (Celsius), Year, Statistics, Country, ISO3
20.6811, 1901, Jan Average, Chad, TCD
23.4298, 1901, Feb Average, Chad, TCD
26.4924, 1901, Mar Average, Chad, TCD
29.5432, 1901, Apr Average, Chad, TCD
30.837, 1901, May Average, Chad, TCD
30.5057, 1901, Jun Average, Chad, TCD
29.432, 1901, Jul Average, Chad, TCD
28.2001, 1901, Aug Average, Chad, TCD
28.4521, 1901, Sep Average, Chad, TCD
27.3542, 1901, Oct Average, Chad, TCD
23.9326, 1901, Nov Average, Chad, TCD
21.4815, 1901, Dec Average, Chad, TCD
20.4119, 1902, Jan Average, Chad, TCD
23.4246, 1902, Feb Average, Chad, TCD
26.638, 1902, Mar Average, Chad, TCD
29.598, 1902, Apr Average, Chad, TCD
31.0212, 1902, May Average, Chad, TCD
30.7288, 1902, Jun Average, Chad, TCD
29.1348, 1902, Jul Average, Chad, TCD
28.4022, 1902, Aug Average, Chad, TCD
28.3573, 1902, Sep Average, Chad, TCD
27.0454, 1902, Oct Average, Chad, TCD
23.6236, 1902, Nov Average, Chad, TCD
21.0272, 1902, Dec Average, Chad, TCD
20.2634, 1903, Jan Average, Chad, TCD
22.6081, 1903, Feb Average, Chad, TCD
26.0701, 1903, Mar Average, Chad, TCD
29.5013, 1903, Apr Average, Chad, TCD
30.8007, 1903, May Average, Chad, TCD
30.6526, 1903, Jun Average, Chad, TCD
29.3078, 1903, Jul Average, Chad, TCD
28.3571, 1903, Aug Average, Chad, TCD
28.2628, 1903, Sep Average, Chad, TCD
27.1346, 1903, Oct Average, Chad, TCD
23.9366, 1903, Nov Average, Chad, TCD
21.5936, 1903, Dec Average, Chad, TCD
20.7701, 1904, Jan Average, Chad, TCD
23.134, 1904, Feb Average, Chad, TCD
26.4422, 1904, Mar Average, Chad, TCD
29.3862, 1904, Apr Average, Chad, TCD
30.8005, 1904, May Average, Chad, TCD
30.7129, 1904, Jun Average, Chad, TCD
29.2108, 1904, Jul Average, Chad, TCD
28.4089, 1904, Aug Average, Chad, TCD
28.4013, 1904, Sep Average, Chad, TCD
27.1644, 1904, Oct Average, Chad, TCD
23.6878, 1904, Nov Average, Chad, TCD
21.1073, 1904, Dec Average, Chad, TCD
20.6069, 1905, Jan Average, Chad, TCD
22.8308, 1905, Feb Average, Chad, TCD
26.261, 1905, Mar Average, Chad, TCD
29.3636, 1905, Apr Average, Chad, TCD
30.8371, 1905, May Average, Chad, TCD
30.7983, 1905, Jun Average, Chad, TCD
29.3272, 1905, Jul Average, Chad, TCD
28.3389, 1905, Aug Average, Chad, TCD
28.4407, 1905, Sep Average, Chad, TCD
27.2195, 1905, Oct Average, Chad, TCD
24.0187, 1905, Nov Average, Chad, TCD
21.2503, 1905, Dec Average, Chad, TCD
20.6561, 1906, Jan Average, Chad, TCD
23.3434, 1906, Feb Average, Chad, TCD
26.4193, 1906, Mar Average, Chad, TCD
29.4634, 1906, Apr Average, Chad, TCD
31.0895, 1906, May Average, Chad, TCD
30.8619, 1906, Jun Average, Chad, TCD
29.3272, 1906, Jul Average, Chad, TCD
28.1929, 1906, Aug Average, Chad, TCD
28.3345, 1906, Sep Average, Chad, TCD
27.2102, 1906, Oct Average, Chad, TCD
23.8387, 1906, Nov Average, Chad, TCD
21.5423, 1906, Dec Average, Chad, TCD
20.8362, 1907, Jan Average, Chad, TCD
23.3071, 1907, Feb Average, Chad, TCD
26.4936, 1907, Mar Average, Chad, TCD
29.5308, 1907, Apr Average, Chad, TCD
30.8102, 1907, May Average, Chad, TCD
30.6256, 1907, Jun Average, Chad, TCD
29.2169, 1907, Jul Average, Chad, TCD
27.9529, 1907, Aug Average, Chad, TCD
28.3737, 1907, Sep Average, Chad, TCD
27.2702, 1907, Oct Average, Chad, TCD
23.7076, 1907, Nov Average, Chad, TCD
21.2123, 1907, Dec Average, Chad, TCD
20.5657, 1908, Jan Average, Chad, TCD
22.9809, 1908, Feb Average, Chad, TCD
26.5992, 1908, Mar Average, Chad, TCD
29.5871, 1908, Apr Average, Chad, TCD
30.8361, 1908, May Average, Chad, TCD
30.6069, 1908, Jun Average, Chad, TCD
29.0403, 1908, Jul Average, Chad, TCD
28.1241, 1908, Aug Average, Chad, TCD
28.3089, 1908, Sep Average, Chad, TCD
27.24, 1908, Oct Average, Chad, TCD
23.7554, 1908, Nov Average, Chad, TCD
21.2844, 1908, Dec Average, Chad, TCD
20.6744, 1909, Jan Average, Chad, TCD
23.3254, 1909, Feb Average, Chad, TCD
26.8003, 1909, Mar Average, Chad, TCD
29.4642, 1909, Apr Average, Chad, TCD
30.9481, 1909, May Average, Chad, TCD
30.6982, 1909, Jun Average, Chad, TCD
29.1677, 1909, Jul Average, Chad, TCD
28.1863, 1909, Aug Average, Chad, TCD
28.3126, 1909, Sep Average, Chad, TCD
27.2778, 1909, Oct Average, Chad, TCD
24.0604, 1909, Nov Average, Chad, TCD
21.4128, 1909, Dec Average, Chad, TCD
20.2562, 1910, Jan Average, Chad, TCD
23.2623, 1910, Feb Average, Chad, TCD
25.3301, 1910, Mar Average, Chad, TCD
