Temperature - (Celsius), Year, Statistics, Country, ISO3
24.2636, 1901, Jan Average, Thailand, THA
26.7941, 1901, Feb Average, Thailand, THA
27.669, 1901, Mar Average, Thailand, THA
29.5841, 1901, Apr Average, Thailand, THA
28.1738, 1901, May Average, Thailand, THA
28.203, 1901, Jun Average, Thailand, THA
28.1747, 1901, Jul Average, Thailand, THA
27.8134, 1901, Aug Average, Thailand, THA
26.6485, 1901, Sep Average, Thailand, THA
26.9915, 1901, Oct Average, Thailand, THA
25.5544, 1901, Nov Average, Thailand, THA
23.6084, 1901, Dec Average, Thailand, THA
22.4454, 1902, Jan Average, Thailand, THA
22.8237, 1902, Feb Average, Thailand, THA
27.6699, 1902, Mar Average, Thailand, THA
29.0994, 1902, Apr Average, Thailand, THA
28.3789, 1902, May Average, Thailand, THA
28.4151, 1902, Jun Average, Thailand, THA
27.7964, 1902, Jul Average, Thailand, THA
27.2915, 1902, Aug Average, Thailand, THA
26.6134, 1902, Sep Average, Thailand, THA
26.5907, 1902, Oct Average, Thailand, THA
24.8809, 1902, Nov Average, Thailand, THA
24.1537, 1902, Dec Average, Thailand, THA
23.3944, 1903, Jan Average, Thailand, THA
24.6532, 1903, Feb Average, Thailand, THA
28.1238, 1903, Mar Average, Thailand, THA
29.927, 1903, Apr Average, Thailand, THA
29.1443, 1903, May Average, Thailand, THA
27.1767, 1903, Jun Average, Thailand, THA
27.3422, 1903, Jul Average, Thailand, THA
26.6866, 1903, Aug Average, Thailand, THA
26.3012, 1903, Sep Average, Thailand, THA
25.9996, 1903, Oct Average, Thailand, THA
23.4975, 1903, Nov Average, Thailand, THA
19.9775, 1903, Dec Average, Thailand, THA
21.0129, 1904, Jan Average, Thailand, THA
23.4202, 1904, Feb Average, Thailand, THA
27.1346, 1904, Mar Average, Thailand, THA
28.0558, 1904, Apr Average, Thailand, THA
28.2699, 1904, May Average, Thailand, THA
27.6168, 1904, Jun Average, Thailand, THA
27.3396, 1904, Jul Average, Thailand, THA
27.5023, 1904, Aug Average, Thailand, THA
27.1775, 1904, Sep Average, Thailand, THA
26.8142, 1904, Oct Average, Thailand, THA
23.9423, 1904, Nov Average, Thailand, THA
21.8042, 1904, Dec Average, Thailand, THA
23.5672, 1905, Jan Average, Thailand, THA
26.3619, 1905, Feb Average, Thailand, THA
27.75, 1905, Mar Average, Thailand, THA
29.5297, 1905, Apr Average, Thailand, THA
28.4936, 1905, May Average, Thailand, THA
27.6675, 1905, Jun Average, Thailand, THA
