Temperature - (Celsius), Year, Statistics, Country, ISO3
0.51111, 1901, Jan Average, Turkmenistan, TKM
4.66295, 1901, Feb Average, Turkmenistan, TKM
10.9507, 1901, Mar Average, Turkmenistan, TKM
17.0478, 1901, Apr Average, Turkmenistan, TKM
22.2141, 1901, May Average, Turkmenistan, TKM
26.0198, 1901, Jun Average, Turkmenistan, TKM
29.1357, 1901, Jul Average, Turkmenistan, TKM
26.7572, 1901, Aug Average, Turkmenistan, TKM
21.3285, 1901, Sep Average, Turkmenistan, TKM
10.4093, 1901, Oct Average, Turkmenistan, TKM
9.57387, 1901, Nov Average, Turkmenistan, TKM
6.21924, 1901, Dec Average, Turkmenistan, TKM
4.01775, 1902, Jan Average, Turkmenistan, TKM
2.95537, 1902, Feb Average, Turkmenistan, TKM
8.61958, 1902, Mar Average, Turkmenistan, TKM
14.7913, 1902, Apr Average, Turkmenistan, TKM
22.5077, 1902, May Average, Turkmenistan, TKM
28.1663, 1902, Jun Average, Turkmenistan, TKM
28.4715, 1902, Jul Average, Turkmenistan, TKM
27.9295, 1902, Aug Average, Turkmenistan, TKM
20.8789, 1902, Sep Average, Turkmenistan, TKM
13.6296, 1902, Oct Average, Turkmenistan, TKM
7.71826, 1902, Nov Average, Turkmenistan, TKM
4.87556, 1902, Dec Average, Turkmenistan, TKM
-0.0612, 1903, Jan Average, Turkmenistan, TKM
4.80409, 1903, Feb Average, Turkmenistan, TKM
2.8986, 1903, Mar Average, Turkmenistan, TKM
14.5687, 1903, Apr Average, Turkmenistan, TKM
21.3189, 1903, May Average, Turkmenistan, TKM
27.0278, 1903, Jun Average, Turkmenistan, TKM
28.9244, 1903, Jul Average, Turkmenistan, TKM
27.2183, 1903, Aug Average, Turkmenistan, TKM
21.7412, 1903, Sep Average, Turkmenistan, TKM
15.8742, 1903, Oct Average, Turkmenistan, TKM
6.96294, 1903, Nov Average, Turkmenistan, TKM
1.25789, 1903, Dec Average, Turkmenistan, TKM
-6.323, 1904, Jan Average, Turkmenistan, TKM
5.8002, 1904, Feb Average, Turkmenistan, TKM
8.76603, 1904, Mar Average, Turkmenistan, TKM
13.4096, 1904, Apr Average, Turkmenistan, TKM
21.6718, 1904, May Average, Turkmenistan, TKM
25.3213, 1904, Jun Average, Turkmenistan, TKM
28.4413, 1904, Jul Average, Turkmenistan, TKM
27.0945, 1904, Aug Average, Turkmenistan, TKM
21.1074, 1904, Sep Average, Turkmenistan, TKM
12.4297, 1904, Oct Average, Turkmenistan, TKM
10.691, 1904, Nov Average, Turkmenistan, TKM
4.87254, 1904, Dec Average, Turkmenistan, TKM
