Temperature - (Celsius), Year, Statistics, Country, ISO3
27.5377, 1901, Jan Average, Timor Leste, TLS
25.2373, 1901, Feb Average, Timor Leste, TLS
25.1122, 1901, Mar Average, Timor Leste, TLS
25.7819, 1901, Apr Average, Timor Leste, TLS
25.5493, 1901, May Average, Timor Leste, TLS
26.1401, 1901, Jun Average, Timor Leste, TLS
23.3955, 1901, Jul Average, Timor Leste, TLS
23.2838, 1901, Aug Average, Timor Leste, TLS
24.4742, 1901, Sep Average, Timor Leste, TLS
26.2744, 1901, Oct Average, Timor Leste, TLS
26.5543, 1901, Nov Average, Timor Leste, TLS
26.528, 1901, Dec Average, Timor Leste, TLS
25.3377, 1902, Jan Average, Timor Leste, TLS
25.7373, 1902, Feb Average, Timor Leste, TLS
26.0122, 1902, Mar Average, Timor Leste, TLS
26.3819, 1902, Apr Average, Timor Leste, TLS
25.9493, 1902, May Average, Timor Leste, TLS
25.6401, 1902, Jun Average, Timor Leste, TLS
24.3955, 1902, Jul Average, Timor Leste, TLS
24.4838, 1902, Aug Average, Timor Leste, TLS
24.1742, 1902, Sep Average, Timor Leste, TLS
25.3744, 1902, Oct Average, Timor Leste, TLS
26.5543, 1902, Nov Average, Timor Leste, TLS
25.928, 1902, Dec Average, Timor Leste, TLS
26.4377, 1903, Jan Average, Timor Leste, TLS
25.9373, 1903, Feb Average, Timor Leste, TLS
26.2122, 1903, Mar Average, Timor Leste, TLS
26.1819, 1903, Apr Average, Timor Leste, TLS
25.9493, 1903, May Average, Timor Leste, TLS
24.7401, 1903, Jun Average, Timor Leste, TLS
25.0955, 1903, Jul Average, Timor Leste, TLS
25.3838, 1903, Aug Average, Timor Leste, TLS
25.6742, 1903, Sep Average, Timor Leste, TLS
26.2744, 1903, Oct Average, Timor Leste, TLS
26.5543, 1903, Nov Average, Timor Leste, TLS
25.628, 1903, Dec Average, Timor Leste, TLS
24.5377, 1904, Jan Average, Timor Leste, TLS
25.1373, 1904, Feb Average, Timor Leste, TLS
25.4122, 1904, Mar Average, Timor Leste, TLS
24.6819, 1904, Apr Average, Timor Leste, TLS
25.9493, 1904, May Average, Timor Leste, TLS
23.7401, 1904, Jun Average, Timor Leste, TLS
24.4955, 1904, Jul Average, Timor Leste, TLS
24.2838, 1904, Aug Average, Timor Leste, TLS
25.1742, 1904, Sep Average, Timor Leste, TLS
25.7744, 1904, Oct Average, Timor Leste, TLS
26.2543, 1904, Nov Average, Timor Leste, TLS
25.828, 1904, Dec Average, Timor Leste, TLS
25.2377, 1905, Jan Average, Timor Leste, TLS
25.3373, 1905, Feb Average, Timor Leste, TLS
26.9122, 1905, Mar Average, Timor Leste, TLS
25.9819, 1905, Apr Average, Timor Leste, TLS
26.6493, 1905, May Average, Timor Leste, TLS
25.7401, 1905, Jun Average, Timor Leste, TLS
25.3955, 1905, Jul Average, Timor Leste, TLS
24.6838, 1905, Aug Average, Timor Leste, TLS
25.2742, 1905, Sep Average, Timor Leste, TLS
25.9744, 1905, Oct Average, Timor Leste, TLS
26.7543, 1905, Nov Average, Timor Leste, TLS
27.328, 1905, Dec Average, Timor Leste, TLS
27.3377, 1906, Jan Average, Timor Leste, TLS
26.9373, 1906, Feb Average, Timor Leste, TLS
26.7122, 1906, Mar Average, Timor Leste, TLS
25.4819, 1906, Apr Average, Timor Leste, TLS
27.2493, 1906, May Average, Timor Leste, TLS
27.1401, 1906, Jun Average, Timor Leste, TLS
25.9955, 1906, Jul Average, Timor Leste, TLS
25.4838, 1906, Aug Average, Timor Leste, TLS
25.1742, 1906, Sep Average, Timor Leste, TLS
25.9744, 1906, Oct Average, Timor Leste, TLS
25.2543, 1906, Nov Average, Timor Leste, TLS
26.128, 1906, Dec Average, Timor Leste, TLS
26.0377, 1907, Jan Average, Timor Leste, TLS
25.5373, 1907, Feb Average, Timor Leste, TLS
26.0122, 1907, Mar Average, Timor Leste, TLS
25.3819, 1907, Apr Average, Timor Leste, TLS
25.8493, 1907, May Average, Timor Leste, TLS
24.8401, 1907, Jun Average, Timor Leste, TLS
24.5955, 1907, Jul Average, Timor Leste, TLS
24.8838, 1907, Aug Average, Timor Leste, TLS
24.9742, 1907, Sep Average, Timor Leste, TLS
26.3744, 1907, Oct Average, Timor Leste, TLS
26.7543, 1907, Nov Average, Timor Leste, TLS
25.628, 1907, Dec Average, Timor Leste, TLS
26.2377, 1908, Jan Average, Timor Leste, TLS
25.9373, 1908, Feb Average, Timor Leste, TLS
26.0122, 1908, Mar Average, Timor Leste, TLS
26.0819, 1908, Apr Average, Timor Leste, TLS
26.2493, 1908, May Average, Timor Leste, TLS
24.4401, 1908, Jun Average, Timor Leste, TLS
24.4955, 1908, Jul Average, Timor Leste, TLS
25.2838, 1908, Aug Average, Timor Leste, TLS
25.2742, 1908, Sep Average, Timor Leste, TLS
26.0744, 1908, Oct Average, Timor Leste, TLS
26.7543, 1908, Nov Average, Timor Leste, TLS
25.628, 1908, Dec Average, Timor Leste, TLS
26.5377, 1909, Jan Average, Timor Leste, TLS
26.4373, 1909, Feb Average, Timor Leste, TLS
25.9122, 1909, Mar Average, Timor Leste, TLS
25.2819, 1909, Apr Average, Timor Leste, TLS
25.5493, 1909, May Average, Timor Leste, TLS
25.8401, 1909, Jun Average, Timor Leste, TLS
25.0955, 1909, Jul Average, Timor Leste, TLS
25.5838, 1909, Aug Average, Timor Leste, TLS
24.9742, 1909, Sep Average, Timor Leste, TLS
26.6744, 1909, Oct Average, Timor Leste, TLS
25.8543, 1909, Nov Average, Timor Leste, TLS
26.128, 1909, Dec Average, Timor Leste, TLS
26.0377, 1910, Jan Average, Timor Leste, TLS
25.4373, 1910, Feb Average, Timor Leste, TLS
25.5122, 1910, Mar Average, Timor Leste, TLS
24.7819, 1910, Apr Average, Timor Leste, TLS
25.7493, 1910, May Average, Timor Leste, TLS
25.0401, 1910, Jun Average, Timor Leste, TLS
25.5955, 1910, Jul Average, Timor Leste, TLS
25.8838, 1910, Aug Average, Timor Leste, TLS
25.9742, 1910, Sep Average, Timor Leste, TLS
26.4744, 1910, Oct Average, Timor Leste, TLS
26.1543, 1910, Nov Average, Timor Leste, TLS
25.928, 1910, Dec Average, Timor Leste, TLS
26.3377, 1911, Jan Average, Timor Leste, TLS
26.1373, 1911, Feb Average, Timor Leste, TLS
25.4122, 1911, Mar Average, Timor Leste, TLS
25.1819, 1911, Apr Average, Timor Leste, TLS
24.7493, 1911, May Average, Timor Leste, TLS
23.6401, 1911, Jun Average, Timor Leste, TLS
23.5955, 1911, Jul Average, Timor Leste, TLS
23.5838, 1911, Aug Average, Timor Leste, TLS
24.5742, 1911, Sep Average, Timor Leste, TLS
25.7744, 1911, Oct Average, Timor Leste, TLS
26.6543, 1911, Nov Average, Timor Leste, TLS
26.928, 1911, Dec Average, Timor Leste, TLS
26.1377, 1912, Jan Average, Timor Leste, TLS
25.3373, 1912, Feb Average, Timor Leste, TLS
25.7122, 1912, Mar Average, Timor Leste, TLS
25.6819, 1912, Apr Average, Timor Leste, TLS
25.7493, 1912, May Average, Timor Leste, TLS
25.4401, 1912, Jun Average, Timor Leste, TLS
25.2955, 1912, Jul Average, Timor Leste, TLS
24.1838, 1912, Aug Average, Timor Leste, TLS
25.6742, 1912, Sep Average, Timor Leste, TLS
26.2744, 1912, Oct Average, Timor Leste, TLS
26.4543, 1912, Nov Average, Timor Leste, TLS
26.528, 1912, Dec Average, Timor Leste, TLS
25.5377, 1913, Jan Average, Timor Leste, TLS
25.6373, 1913, Feb Average, Timor Leste, TLS
25.5122, 1913, Mar Average, Timor Leste, TLS
25.6819, 1913, Apr Average, Timor Leste, TLS
23.1493, 1913, May Average, Timor Leste, TLS
23.0401, 1913, Jun Average, Timor Leste, TLS
23.2955, 1913, Jul Average, Timor Leste, TLS
24.0838, 1913, Aug Average, Timor Leste, TLS
23.9742, 1913, Sep Average, Timor Leste, TLS
25.6744, 1913, Oct Average, Timor Leste, TLS
27.7543, 1913, Nov Average, Timor Leste, TLS
27.128, 1913, Dec Average, Timor Leste, TLS
25.6377, 1914, Jan Average, Timor Leste, TLS
26.8373, 1914, Feb Average, Timor Leste, TLS
26.5122, 1914, Mar Average, Timor Leste, TLS
26.2819, 1914, Apr Average, Timor Leste, TLS
25.6493, 1914, May Average, Timor Leste, TLS
23.9401, 1914, Jun Average, Timor Leste, TLS
22.7955, 1914, Jul Average, Timor Leste, TLS
23.9838, 1914, Aug Average, Timor Leste, TLS
24.6742, 1914, Sep Average, Timor Leste, TLS
25.4744, 1914, Oct Average, Timor Leste, TLS
26.2543, 1914, Nov Average, Timor Leste, TLS
26.328, 1914, Dec Average, Timor Leste, TLS
25.7353, 1915, Jan Average, Timor Leste, TLS
26.2327, 1915, Feb Average, Timor Leste, TLS
26.7081, 1915, Mar Average, Timor Leste, TLS
26.7774, 1915, Apr Average, Timor Leste, TLS
25.5469, 1915, May Average, Timor Leste, TLS
25.2381, 1915, Jun Average, Timor Leste, TLS
25.8901, 1915, Jul Average, Timor Leste, TLS
25.2809, 1915, Aug Average, Timor Leste, TLS
26.2742, 1915, Sep Average, Timor Leste, TLS
26.5744, 1915, Oct Average, Timor Leste, TLS
26.9543, 1915, Nov Average, Timor Leste, TLS
25.128, 1915, Dec Average, Timor Leste, TLS
25.6341, 1916, Jan Average, Timor Leste, TLS
25.5328, 1916, Feb Average, Timor Leste, TLS
25.9122, 1916, Mar Average, Timor Leste, TLS
26.3774, 1916, Apr Average, Timor Leste, TLS
26.1447, 1916, May Average, Timor Leste, TLS
26.532, 1916, Jun Average, Timor Leste, TLS
26.3882, 1916, Jul Average, Timor Leste, TLS
26.0784, 1916, Aug Average, Timor Leste, TLS
25.9742, 1916, Sep Average, Timor Leste, TLS
26.2744, 1916, Oct Average, Timor Leste, TLS
25.9543, 1916, Nov Average, Timor Leste, TLS
25.828, 1916, Dec Average, Timor Leste, TLS
25.0365, 1917, Jan Average, Timor Leste, TLS
25.3344, 1917, Feb Average, Timor Leste, TLS
26.0078, 1917, Mar Average, Timor Leste, TLS
25.1798, 1917, Apr Average, Timor Leste, TLS
24.6485, 1917, May Average, Timor Leste, TLS
24.9368, 1917, Jun Average, Timor Leste, TLS
25.6903, 1917, Jul Average, Timor Leste, TLS
25.6805, 1917, Aug Average, Timor Leste, TLS
25.9742, 1917, Sep Average, Timor Leste, TLS
25.9744, 1917, Oct Average, Timor Leste, TLS
26.5543, 1917, Nov Average, Timor Leste, TLS
24.828, 1917, Dec Average, Timor Leste, TLS
24.6376, 1918, Jan Average, Timor Leste, TLS
24.7348, 1918, Feb Average, Timor Leste, TLS
26.0078, 1918, Mar Average, Timor Leste, TLS
25.2806, 1918, Apr Average, Timor Leste, TLS
25.2485, 1918, May Average, Timor Leste, TLS
24.7373, 1918, Jun Average, Timor Leste, TLS
23.8935, 1918, Jul Average, Timor Leste, TLS
25.0801, 1918, Aug Average, Timor Leste, TLS
24.4742, 1918, Sep Average, Timor Leste, TLS
26.3744, 1918, Oct Average, Timor Leste, TLS
27.5543, 1918, Nov Average, Timor Leste, TLS
26.428, 1918, Dec Average, Timor Leste, TLS
25.6376, 1919, Jan Average, Timor Leste, TLS
26.5348, 1919, Feb Average, Timor Leste, TLS
26.1098, 1919, Mar Average, Timor Leste, TLS
25.8795, 1919, Apr Average, Timor Leste, TLS
25.1477, 1919, May Average, Timor Leste, TLS
24.2389, 1919, Jun Average, Timor Leste, TLS
22.8955, 1919, Jul Average, Timor Leste, TLS
23.8825, 1919, Aug Average, Timor Leste, TLS
24.5742, 1919, Sep Average, Timor Leste, TLS
25.2744, 1919, Oct Average, Timor Leste, TLS
25.9543, 1919, Nov Average, Timor Leste, TLS
26.428, 1919, Dec Average, Timor Leste, TLS
25.8349, 1920, Jan Average, Timor Leste, TLS
25.5336, 1920, Feb Average, Timor Leste, TLS
26.3078, 1920, Mar Average, Timor Leste, TLS
26.2786, 1920, Apr Average, Timor Leste, TLS
26.1464, 1920, May Average, Timor Leste, TLS
26.8328, 1920, Jun Average, Timor Leste, TLS
26.4893, 1920, Jul Average, Timor Leste, TLS
25.9809, 1920, Aug Average, Timor Leste, TLS
25.8742, 1920, Sep Average, Timor Leste, TLS
26.2744, 1920, Oct Average, Timor Leste, TLS
26.5543, 1920, Nov Average, Timor Leste, TLS
25.728, 1920, Dec Average, Timor Leste, TLS
25.6369, 1921, Jan Average, Timor Leste, TLS
25.4365, 1921, Feb Average, Timor Leste, TLS
25.3097, 1921, Mar Average, Timor Leste, TLS
25.579, 1921, Apr Average, Timor Leste, TLS
26.2439, 1921, May Average, Timor Leste, TLS
26.8331, 1921, Jun Average, Timor Leste, TLS
24.8927, 1921, Jul Average, Timor Leste, TLS
24.583, 1921, Aug Average, Timor Leste, TLS
25.4742, 1921, Sep Average, Timor Leste, TLS
26.4744, 1921, Oct Average, Timor Leste, TLS
26.9543, 1921, Nov Average, Timor Leste, TLS
26.328, 1921, Dec Average, Timor Leste, TLS
26.1349, 1922, Jan Average, Timor Leste, TLS
25.7332, 1922, Feb Average, Timor Leste, TLS
25.6086, 1922, Mar Average, Timor Leste, TLS
26.0786, 1922, Apr Average, Timor Leste, TLS
25.2468, 1922, May Average, Timor Leste, TLS
24.6377, 1922, Jun Average, Timor Leste, TLS
23.2963, 1922, Jul Average, Timor Leste, TLS
23.0851, 1922, Aug Average, Timor Leste, TLS
24.6742, 1922, Sep Average, Timor Leste, TLS
25.7744, 1922, Oct Average, Timor Leste, TLS
27.1543, 1922, Nov Average, Timor Leste, TLS
25.928, 1922, Dec Average, Timor Leste, TLS
25.8369, 1923, Jan Average, Timor Leste, TLS
25.736, 1923, Feb Average, Timor Leste, TLS
25.5102, 1923, Mar Average, Timor Leste, TLS
25.5811, 1923, Apr Average, Timor Leste, TLS
25.7464, 1923, May Average, Timor Leste, TLS
24.7381, 1923, Jun Average, Timor Leste, TLS
23.1955, 1923, Jul Average, Timor Leste, TLS
22.883, 1923, Aug Average, Timor Leste, TLS
24.1742, 1923, Sep Average, Timor Leste, TLS
25.4744, 1923, Oct Average, Timor Leste, TLS
26.6543, 1923, Nov Average, Timor Leste, TLS
25.928, 1923, Dec Average, Timor Leste, TLS
26.6353, 1924, Jan Average, Timor Leste, TLS
25.8349, 1924, Feb Average, Timor Leste, TLS
26.6086, 1924, Mar Average, Timor Leste, TLS
24.9819, 1924, Apr Average, Timor Leste, TLS
26.6464, 1924, May Average, Timor Leste, TLS
25.4373, 1924, Jun Average, Timor Leste, TLS
24.9927, 1924, Jul Average, Timor Leste, TLS
24.683, 1924, Aug Average, Timor Leste, TLS
25.5742, 1924, Sep Average, Timor Leste, TLS
26.2744, 1924, Oct Average, Timor Leste, TLS
27.4543, 1924, Nov Average, Timor Leste, TLS
25.728, 1924, Dec Average, Timor Leste, TLS
25.8369, 1925, Jan Average, Timor Leste, TLS
24.9357, 1925, Feb Average, Timor Leste, TLS
25.3097, 1925, Mar Average, Timor Leste, TLS
24.0839, 1925, Apr Average, Timor Leste, TLS
24.6501, 1925, May Average, Timor Leste, TLS
23.8401, 1925, Jun Average, Timor Leste, TLS
23.6947, 1925, Jul Average, Timor Leste, TLS
23.9838, 1925, Aug Average, Timor Leste, TLS
24.2742, 1925, Sep Average, Timor Leste, TLS
25.4744, 1925, Oct Average, Timor Leste, TLS
26.8543, 1925, Nov Average, Timor Leste, TLS
26.828, 1925, Dec Average, Timor Leste, TLS
26.1353, 1926, Jan Average, Timor Leste, TLS
26.7336, 1926, Feb Average, Timor Leste, TLS
27.506, 1926, Mar Average, Timor Leste, TLS
26.3798, 1926, Apr Average, Timor Leste, TLS
24.751, 1926, May Average, Timor Leste, TLS
24.5393, 1926, Jun Average, Timor Leste, TLS
24.0939, 1926, Jul Average, Timor Leste, TLS
24.983, 1926, Aug Average, Timor Leste, TLS
25.9742, 1926, Sep Average, Timor Leste, TLS
26.7744, 1926, Oct Average, Timor Leste, TLS
27.4543, 1926, Nov Average, Timor Leste, TLS
26.528, 1926, Dec Average, Timor Leste, TLS
25.936, 1927, Jan Average, Timor Leste, TLS
27.4328, 1927, Feb Average, Timor Leste, TLS
26.9081, 1927, Mar Average, Timor Leste, TLS
25.7811, 1927, Apr Average, Timor Leste, TLS
25.5484, 1927, May Average, Timor Leste, TLS
25.9357, 1927, Jun Average, Timor Leste, TLS
24.4943, 1927, Jul Average, Timor Leste, TLS
23.9846, 1927, Aug Average, Timor Leste, TLS
25.0742, 1927, Sep Average, Timor Leste, TLS
26.4744, 1927, Oct Average, Timor Leste, TLS
26.5543, 1927, Nov Average, Timor Leste, TLS
27.128, 1927, Dec Average, Timor Leste, TLS
25.5417, 1928, Jan Average, Timor Leste, TLS
26.7344, 1928, Feb Average, Timor Leste, TLS
25.7102, 1928, Mar Average, Timor Leste, TLS
26.479, 1928, Apr Average, Timor Leste, TLS
25.0501, 1928, May Average, Timor Leste, TLS
23.4425, 1928, Jun Average, Timor Leste, TLS
24.0947, 1928, Jul Average, Timor Leste, TLS
24.8838, 1928, Aug Average, Timor Leste, TLS
25.8742, 1928, Sep Average, Timor Leste, TLS
26.6744, 1928, Oct Average, Timor Leste, TLS
27.2543, 1928, Nov Average, Timor Leste, TLS
26.628, 1928, Dec Average, Timor Leste, TLS
26.3352, 1929, Jan Average, Timor Leste, TLS
25.736, 1929, Feb Average, Timor Leste, TLS
25.8089, 1929, Mar Average, Timor Leste, TLS
24.7823, 1929, Apr Average, Timor Leste, TLS
24.2488, 1929, May Average, Timor Leste, TLS
23.4409, 1929, Jun Average, Timor Leste, TLS
