Temperature - (Celsius), Year, Statistics, Country, ISO3
26.1292, 1901, Jan Average, Tonga, TON
26.1475, 1901, Feb Average, Tonga, TON
25.6218, 1901, Mar Average, Tonga, TON
25.5035, 1901, Apr Average, Tonga, TON
24.112, 1901, May Average, Tonga, TON
22.7595, 1901, Jun Average, Tonga, TON
22.5595, 1901, Jul Average, Tonga, TON
21.8863, 1901, Aug Average, Tonga, TON
22.6729, 1901, Sep Average, Tonga, TON
22.8595, 1901, Oct Average, Tonga, TON
24.3303, 1901, Nov Average, Tonga, TON
25.4035, 1901, Dec Average, Tonga, TON
25.7292, 1902, Jan Average, Tonga, TON
26.5475, 1902, Feb Average, Tonga, TON
25.8218, 1902, Mar Average, Tonga, TON
24.9035, 1902, Apr Average, Tonga, TON
24.012, 1902, May Average, Tonga, TON
22.6595, 1902, Jun Average, Tonga, TON
22.4595, 1902, Jul Average, Tonga, TON
21.7863, 1902, Aug Average, Tonga, TON
22.3729, 1902, Sep Average, Tonga, TON
23.2595, 1902, Oct Average, Tonga, TON
24.8303, 1902, Nov Average, Tonga, TON
25.6035, 1902, Dec Average, Tonga, TON
24.9292, 1903, Jan Average, Tonga, TON
26.1475, 1903, Feb Average, Tonga, TON
26.0218, 1903, Mar Average, Tonga, TON
24.8035, 1903, Apr Average, Tonga, TON
23.712, 1903, May Average, Tonga, TON
23.3595, 1903, Jun Average, Tonga, TON
22.1595, 1903, Jul Average, Tonga, TON
22.3863, 1903, Aug Average, Tonga, TON
22.1729, 1903, Sep Average, Tonga, TON
23.0595, 1903, Oct Average, Tonga, TON
23.7303, 1903, Nov Average, Tonga, TON
24.5035, 1903, Dec Average, Tonga, TON
24.5292, 1904, Jan Average, Tonga, TON
25.4475, 1904, Feb Average, Tonga, TON
24.8218, 1904, Mar Average, Tonga, TON
24.2035, 1904, Apr Average, Tonga, TON
23.312, 1904, May Average, Tonga, TON
22.7595, 1904, Jun Average, Tonga, TON
21.6595, 1904, Jul Average, Tonga, TON
21.5863, 1904, Aug Average, Tonga, TON
22.2729, 1904, Sep Average, Tonga, TON
23.3595, 1904, Oct Average, Tonga, TON
24.5303, 1904, Nov Average, Tonga, TON
25.4035, 1904, Dec Average, Tonga, TON
25.7292, 1905, Jan Average, Tonga, TON
26.6475, 1905, Feb Average, Tonga, TON
25.7218, 1905, Mar Average, Tonga, TON
24.7035, 1905, Apr Average, Tonga, TON
23.112, 1905, May Average, Tonga, TON
22.2595, 1905, Jun Average, Tonga, TON
21.7595, 1905, Jul Average, Tonga, TON
21.3863, 1905, Aug Average, Tonga, TON
21.9729, 1905, Sep Average, Tonga, TON
23.0595, 1905, Oct Average, Tonga, TON
23.9303, 1905, Nov Average, Tonga, TON
24.6035, 1905, Dec Average, Tonga, TON
26.6292, 1906, Jan Average, Tonga, TON
26.7475, 1906, Feb Average, Tonga, TON
26.1218, 1906, Mar Average, Tonga, TON
25.4035, 1906, Apr Average, Tonga, TON
23.712, 1906, May Average, Tonga, TON
22.8595, 1906, Jun Average, Tonga, TON
22.0595, 1906, Jul Average, Tonga, TON
22.1863, 1906, Aug Average, Tonga, TON
22.7729, 1906, Sep Average, Tonga, TON
23.1595, 1906, Oct Average, Tonga, TON
23.8303, 1906, Nov Average, Tonga, TON
24.9035, 1906, Dec Average, Tonga, TON
25.3292, 1907, Jan Average, Tonga, TON
26.0475, 1907, Feb Average, Tonga, TON
25.0218, 1907, Mar Average, Tonga, TON
24.4035, 1907, Apr Average, Tonga, TON
23.012, 1907, May Average, Tonga, TON
23.5595, 1907, Jun Average, Tonga, TON
22.1595, 1907, Jul Average, Tonga, TON
21.1863, 1907, Aug Average, Tonga, TON
22.2729, 1907, Sep Average, Tonga, TON
23.3595, 1907, Oct Average, Tonga, TON
23.8303, 1907, Nov Average, Tonga, TON
24.8035, 1907, Dec Average, Tonga, TON
25.3292, 1908, Jan Average, Tonga, TON
25.7475, 1908, Feb Average, Tonga, TON
25.1218, 1908, Mar Average, Tonga, TON
24.6035, 1908, Apr Average, Tonga, TON
23.512, 1908, May Average, Tonga, TON
23.5595, 1908, Jun Average, Tonga, TON
21.3595, 1908, Jul Average, Tonga, TON
22.4863, 1908, Aug Average, Tonga, TON
21.8729, 1908, Sep Average, Tonga, TON
22.9595, 1908, Oct Average, Tonga, TON
23.7303, 1908, Nov Average, Tonga, TON
24.9035, 1908, Dec Average, Tonga, TON
24.6292, 1909, Jan Average, Tonga, TON
25.5475, 1909, Feb Average, Tonga, TON
25.1218, 1909, Mar Average, Tonga, TON
23.8035, 1909, Apr Average, Tonga, TON
22.912, 1909, May Average, Tonga, TON
22.6595, 1909, Jun Average, Tonga, TON
21.5595, 1909, Jul Average, Tonga, TON
22.4863, 1909, Aug Average, Tonga, TON
22.4729, 1909, Sep Average, Tonga, TON
23.0595, 1909, Oct Average, Tonga, TON
23.7303, 1909, Nov Average, Tonga, TON
24.3035, 1909, Dec Average, Tonga, TON
25.1292, 1910, Jan Average, Tonga, TON
25.6475, 1910, Feb Average, Tonga, TON
24.8218, 1910, Mar Average, Tonga, TON
24.3035, 1910, Apr Average, Tonga, TON
23.212, 1910, May Average, Tonga, TON
22.1595, 1910, Jun Average, Tonga, TON
22.2595, 1910, Jul Average, Tonga, TON
22.3863, 1910, Aug Average, Tonga, TON
22.5729, 1910, Sep Average, Tonga, TON
22.5595, 1910, Oct Average, Tonga, TON
23.8303, 1910, Nov Average, Tonga, TON
24.6035, 1910, Dec Average, Tonga, TON
25.3292, 1911, Jan Average, Tonga, TON
26.6475, 1911, Feb Average, Tonga, TON
25.4218, 1911, Mar Average, Tonga, TON
24.9035, 1911, Apr Average, Tonga, TON
