Temperature - (Celsius), Year, Statistics, Country, ISO3
25.2936, 1901, Jan Average, Trinidad and Tobago, TTO
25.2778, 1901, Feb Average, Trinidad and Tobago, TTO
25.8482, 1901, Mar Average, Trinidad and Tobago, TTO
26.9035, 1901, Apr Average, Trinidad and Tobago, TTO
27.0335, 1901, May Average, Trinidad and Tobago, TTO
26.5175, 1901, Jun Average, Trinidad and Tobago, TTO
26.9377, 1901, Jul Average, Trinidad and Tobago, TTO
26.7461, 1901, Aug Average, Trinidad and Tobago, TTO
26.1726, 1901, Sep Average, Trinidad and Tobago, TTO
25.9703, 1901, Oct Average, Trinidad and Tobago, TTO
25.5796, 1901, Nov Average, Trinidad and Tobago, TTO
24.7589, 1901, Dec Average, Trinidad and Tobago, TTO
24.5093, 1902, Jan Average, Trinidad and Tobago, TTO
24.6793, 1902, Feb Average, Trinidad and Tobago, TTO
24.753, 1902, Mar Average, Trinidad and Tobago, TTO
26.0957, 1902, Apr Average, Trinidad and Tobago, TTO
26.8032, 1902, May Average, Trinidad and Tobago, TTO
26.4657, 1902, Jun Average, Trinidad and Tobago, TTO
26.2134, 1902, Jul Average, Trinidad and Tobago, TTO
26.6252, 1902, Aug Average, Trinidad and Tobago, TTO
26.0945, 1902, Sep Average, Trinidad and Tobago, TTO
25.8274, 1902, Oct Average, Trinidad and Tobago, TTO
25.985, 1902, Nov Average, Trinidad and Tobago, TTO
25.2484, 1902, Dec Average, Trinidad and Tobago, TTO
24.7548, 1903, Jan Average, Trinidad and Tobago, TTO
24.9969, 1903, Feb Average, Trinidad and Tobago, TTO
25.0595, 1903, Mar Average, Trinidad and Tobago, TTO
26.0342, 1903, Apr Average, Trinidad and Tobago, TTO
26.3144, 1903, May Average, Trinidad and Tobago, TTO
26.4102, 1903, Jun Average, Trinidad and Tobago, TTO
26.7375, 1903, Jul Average, Trinidad and Tobago, TTO
26.4879, 1903, Aug Average, Trinidad and Tobago, TTO
26.1662, 1903, Sep Average, Trinidad and Tobago, TTO
26.5282, 1903, Oct Average, Trinidad and Tobago, TTO
25.5805, 1903, Nov Average, Trinidad and Tobago, TTO
24.7621, 1903, Dec Average, Trinidad and Tobago, TTO
24.233, 1904, Jan Average, Trinidad and Tobago, TTO
24.2829, 1904, Feb Average, Trinidad and Tobago, TTO
24.329, 1904, Mar Average, Trinidad and Tobago, TTO
25.5601, 1904, Apr Average, Trinidad and Tobago, TTO
26.1661, 1904, May Average, Trinidad and Tobago, TTO
25.7658, 1904, Jun Average, Trinidad and Tobago, TTO
26.329, 1904, Jul Average, Trinidad and Tobago, TTO
26.0975, 1904, Aug Average, Trinidad and Tobago, TTO
26.3335, 1904, Sep Average, Trinidad and Tobago, TTO
25.5236, 1904, Oct Average, Trinidad and Tobago, TTO
25.6743, 1904, Nov Average, Trinidad and Tobago, TTO
24.836, 1904, Dec Average, Trinidad and Tobago, TTO
24.9052, 1905, Jan Average, Trinidad and Tobago, TTO
24.0977, 1905, Feb Average, Trinidad and Tobago, TTO
24.6538, 1905, Mar Average, Trinidad and Tobago, TTO
26.1729, 1905, Apr Average, Trinidad and Tobago, TTO
25.977, 1905, May Average, Trinidad and Tobago, TTO
