Temperature - (Celsius), Year, Statistics, Country, ISO3
27.9777, 1901, Jan Average, Tuvalu, TUV
27.4742, 1901, Feb Average, Tuvalu, TUV
27.5531, 1901, Mar Average, Tuvalu, TUV
28.2, 1901, Apr Average, Tuvalu, TUV
28.1989, 1901, May Average, Tuvalu, TUV
27.4256, 1901, Jun Average, Tuvalu, TUV
27.6989, 1901, Jul Average, Tuvalu, TUV
27.2992, 1901, Aug Average, Tuvalu, TUV
27.6411, 1901, Sep Average, Tuvalu, TUV
27.3203, 1901, Oct Average, Tuvalu, TUV
27.7844, 1901, Nov Average, Tuvalu, TUV
28.0566, 1901, Dec Average, Tuvalu, TUV
27.6622, 1902, Jan Average, Tuvalu, TUV
27.7897, 1902, Feb Average, Tuvalu, TUV
27.7108, 1902, Mar Average, Tuvalu, TUV
27.7267, 1902, Apr Average, Tuvalu, TUV
28.12, 1902, May Average, Tuvalu, TUV
27.3467, 1902, Jun Average, Tuvalu, TUV
27.62, 1902, Jul Average, Tuvalu, TUV
27.2203, 1902, Aug Average, Tuvalu, TUV
27.4045, 1902, Sep Average, Tuvalu, TUV
27.6358, 1902, Oct Average, Tuvalu, TUV
28.1788, 1902, Nov Average, Tuvalu, TUV
28.2144, 1902, Dec Average, Tuvalu, TUV
27.0312, 1903, Jan Average, Tuvalu, TUV
27.4742, 1903, Feb Average, Tuvalu, TUV
27.8686, 1903, Mar Average, Tuvalu, TUV
27.6478, 1903, Apr Average, Tuvalu, TUV
27.8833, 1903, May Average, Tuvalu, TUV
27.8989, 1903, Jun Average, Tuvalu, TUV
27.3833, 1903, Jul Average, Tuvalu, TUV
27.6936, 1903, Aug Average, Tuvalu, TUV
27.2467, 1903, Sep Average, Tuvalu, TUV
27.4781, 1903, Oct Average, Tuvalu, TUV
27.3111, 1903, Nov Average, Tuvalu, TUV
27.3467, 1903, Dec Average, Tuvalu, TUV
26.7157, 1904, Jan Average, Tuvalu, TUV
26.922, 1904, Feb Average, Tuvalu, TUV
26.922, 1904, Mar Average, Tuvalu, TUV
27.1745, 1904, Apr Average, Tuvalu, TUV
27.5678, 1904, May Average, Tuvalu, TUV
27.4256, 1904, Jun Average, Tuvalu, TUV
26.9889, 1904, Jul Average, Tuvalu, TUV
27.0625, 1904, Aug Average, Tuvalu, TUV
27.3256, 1904, Sep Average, Tuvalu, TUV
27.7147, 1904, Oct Average, Tuvalu, TUV
27.9422, 1904, Nov Average, Tuvalu, TUV
28.0566, 1904, Dec Average, Tuvalu, TUV
27.6622, 1905, Jan Average, Tuvalu, TUV
27.8686, 1905, Feb Average, Tuvalu, TUV
27.6319, 1905, Mar Average, Tuvalu, TUV
27.5689, 1905, Apr Average, Tuvalu, TUV
