Temperature - (Celsius), Year, Statistics, Country, ISO3
23.3497, 1901, Jan Average, Tanzania, United Republic of, TZA
22.2836, 1901, Feb Average, Tanzania, United Republic of, TZA
23.1687, 1901, Mar Average, Tanzania, United Republic of, TZA
22.3194, 1901, Apr Average, Tanzania, United Republic of, TZA
21.3838, 1901, May Average, Tanzania, United Republic of, TZA
19.6637, 1901, Jun Average, Tanzania, United Republic of, TZA
19.228, 1901, Jul Average, Tanzania, United Republic of, TZA
20.5492, 1901, Aug Average, Tanzania, United Republic of, TZA
21.9924, 1901, Sep Average, Tanzania, United Republic of, TZA
23.4749, 1901, Oct Average, Tanzania, United Republic of, TZA
23.752, 1901, Nov Average, Tanzania, United Republic of, TZA
23.8532, 1901, Dec Average, Tanzania, United Republic of, TZA
23.0587, 1902, Jan Average, Tanzania, United Republic of, TZA
23.0232, 1902, Feb Average, Tanzania, United Republic of, TZA
23.337, 1902, Mar Average, Tanzania, United Republic of, TZA
22.414, 1902, Apr Average, Tanzania, United Republic of, TZA
22.5712, 1902, May Average, Tanzania, United Republic of, TZA
21.362, 1902, Jun Average, Tanzania, United Republic of, TZA
20.1769, 1902, Jul Average, Tanzania, United Republic of, TZA
21.6888, 1902, Aug Average, Tanzania, United Republic of, TZA
22.4858, 1902, Sep Average, Tanzania, United Republic of, TZA
23.497, 1902, Oct Average, Tanzania, United Republic of, TZA
23.3809, 1902, Nov Average, Tanzania, United Republic of, TZA
22.4489, 1902, Dec Average, Tanzania, United Republic of, TZA
23.0818, 1903, Jan Average, Tanzania, United Republic of, TZA
22.986, 1903, Feb Average, Tanzania, United Republic of, TZA
22.8072, 1903, Mar Average, Tanzania, United Republic of, TZA
22.2385, 1903, Apr Average, Tanzania, United Republic of, TZA
21.548, 1903, May Average, Tanzania, United Republic of, TZA
20.9592, 1903, Jun Average, Tanzania, United Republic of, TZA
19.9012, 1903, Jul Average, Tanzania, United Republic of, TZA
21.6027, 1903, Aug Average, Tanzania, United Republic of, TZA
21.9366, 1903, Sep Average, Tanzania, United Republic of, TZA
22.9292, 1903, Oct Average, Tanzania, United Republic of, TZA
23.9263, 1903, Nov Average, Tanzania, United Republic of, TZA
22.8731, 1903, Dec Average, Tanzania, United Republic of, TZA
22.2195, 1904, Jan Average, Tanzania, United Republic of, TZA
22.2965, 1904, Feb Average, Tanzania, United Republic of, TZA
22.2299, 1904, Mar Average, Tanzania, United Republic of, TZA
22.2521, 1904, Apr Average, Tanzania, United Republic of, TZA
21.8329, 1904, May Average, Tanzania, United Republic of, TZA
20.5108, 1904, Jun Average, Tanzania, United Republic of, TZA
19.7559, 1904, Jul Average, Tanzania, United Republic of, TZA
21.5008, 1904, Aug Average, Tanzania, United Republic of, TZA
22.1253, 1904, Sep Average, Tanzania, United Republic of, TZA
22.1618, 1904, Oct Average, Tanzania, United Republic of, TZA
22.4356, 1904, Nov Average, Tanzania, United Republic of, TZA
22.2947, 1904, Dec Average, Tanzania, United Republic of, TZA
23.1353, 1905, Jan Average, Tanzania, United Republic of, TZA
23.1329, 1905, Feb Average, Tanzania, United Republic of, TZA
22.5465, 1905, Mar Average, Tanzania, United Republic of, TZA
21.5006, 1905, Apr Average, Tanzania, United Republic of, TZA
21.404, 1905, May Average, Tanzania, United Republic of, TZA
20.6388, 1905, Jun Average, Tanzania, United Republic of, TZA
19.5312, 1905, Jul Average, Tanzania, United Republic of, TZA
20.6925, 1905, Aug Average, Tanzania, United Republic of, TZA
22.2181, 1905, Sep Average, Tanzania, United Republic of, TZA
23.7651, 1905, Oct Average, Tanzania, United Republic of, TZA
23.7236, 1905, Nov Average, Tanzania, United Republic of, TZA
22.6837, 1905, Dec Average, Tanzania, United Republic of, TZA
22.0884, 1906, Jan Average, Tanzania, United Republic of, TZA
22.9196, 1906, Feb Average, Tanzania, United Republic of, TZA
21.8478, 1906, Mar Average, Tanzania, United Republic of, TZA
21.4631, 1906, Apr Average, Tanzania, United Republic of, TZA
21.0837, 1906, May Average, Tanzania, United Republic of, TZA
19.6277, 1906, Jun Average, Tanzania, United Republic of, TZA
19.0567, 1906, Jul Average, Tanzania, United Republic of, TZA
19.8649, 1906, Aug Average, Tanzania, United Republic of, TZA
21.3971, 1906, Sep Average, Tanzania, United Republic of, TZA
23.0906, 1906, Oct Average, Tanzania, United Republic of, TZA
23.8293, 1906, Nov Average, Tanzania, United Republic of, TZA
23.0725, 1906, Dec Average, Tanzania, United Republic of, TZA
22.2479, 1907, Jan Average, Tanzania, United Republic of, TZA
22.4148, 1907, Feb Average, Tanzania, United Republic of, TZA
22.7316, 1907, Mar Average, Tanzania, United Republic of, TZA
21.6487, 1907, Apr Average, Tanzania, United Republic of, TZA
20.8768, 1907, May Average, Tanzania, United Republic of, TZA
19.387, 1907, Jun Average, Tanzania, United Republic of, TZA
19.1121, 1907, Jul Average, Tanzania, United Republic of, TZA
19.7005, 1907, Aug Average, Tanzania, United Republic of, TZA
21.4997, 1907, Sep Average, Tanzania, United Republic of, TZA
23.3879, 1907, Oct Average, Tanzania, United Republic of, TZA
23.5504, 1907, Nov Average, Tanzania, United Republic of, TZA
23.1645, 1907, Dec Average, Tanzania, United Republic of, TZA
23.3324, 1908, Jan Average, Tanzania, United Republic of, TZA
22.78, 1908, Feb Average, Tanzania, United Republic of, TZA
22.7682, 1908, Mar Average, Tanzania, United Republic of, TZA
22.6516, 1908, Apr Average, Tanzania, United Republic of, TZA
21.0934, 1908, May Average, Tanzania, United Republic of, TZA
20.3088, 1908, Jun Average, Tanzania, United Republic of, TZA
20.028, 1908, Jul Average, Tanzania, United Republic of, TZA
21.3091, 1908, Aug Average, Tanzania, United Republic of, TZA
21.9719, 1908, Sep Average, Tanzania, United Republic of, TZA
23.2326, 1908, Oct Average, Tanzania, United Republic of, TZA
23.4286, 1908, Nov Average, Tanzania, United Republic of, TZA
22.7373, 1908, Dec Average, Tanzania, United Republic of, TZA
21.8349, 1909, Jan Average, Tanzania, United Republic of, TZA
21.5987, 1909, Feb Average, Tanzania, United Republic of, TZA
22.3384, 1909, Mar Average, Tanzania, United Republic of, TZA
21.5883, 1909, Apr Average, Tanzania, United Republic of, TZA
20.7597, 1909, May Average, Tanzania, United Republic of, TZA
19.1043, 1909, Jun Average, Tanzania, United Republic of, TZA
19.2736, 1909, Jul Average, Tanzania, United Republic of, TZA
19.5009, 1909, Aug Average, Tanzania, United Republic of, TZA
21.403, 1909, Sep Average, Tanzania, United Republic of, TZA
22.8511, 1909, Oct Average, Tanzania, United Republic of, TZA
22.3786, 1909, Nov Average, Tanzania, United Republic of, TZA
21.7145, 1909, Dec Average, Tanzania, United Republic of, TZA
21.4735, 1910, Jan Average, Tanzania, United Republic of, TZA
21.7505, 1910, Feb Average, Tanzania, United Republic of, TZA
22.1625, 1910, Mar Average, Tanzania, United Republic of, TZA
21.3236, 1910, Apr Average, Tanzania, United Republic of, TZA
19.132, 1910, May Average, Tanzania, United Republic of, TZA
19.5028, 1910, Jun Average, Tanzania, United Republic of, TZA
18.4554, 1910, Jul Average, Tanzania, United Republic of, TZA
19.6933, 1910, Aug Average, Tanzania, United Republic of, TZA
20.5175, 1910, Sep Average, Tanzania, United Republic of, TZA
21.7802, 1910, Oct Average, Tanzania, United Republic of, TZA
22.3781, 1910, Nov Average, Tanzania, United Republic of, TZA
22.9931, 1910, Dec Average, Tanzania, United Republic of, TZA
22.4903, 1911, Jan Average, Tanzania, United Republic of, TZA
22.8053, 1911, Feb Average, Tanzania, United Republic of, TZA
22.5825, 1911, Mar Average, Tanzania, United Republic of, TZA
21.3426, 1911, Apr Average, Tanzania, United Republic of, TZA
21.4128, 1911, May Average, Tanzania, United Republic of, TZA
19.6205, 1911, Jun Average, Tanzania, United Republic of, TZA
17.959, 1911, Jul Average, Tanzania, United Republic of, TZA
20.0667, 1911, Aug Average, Tanzania, United Republic of, TZA
20.8854, 1911, Sep Average, Tanzania, United Republic of, TZA
22.7188, 1911, Oct Average, Tanzania, United Republic of, TZA
22.931, 1911, Nov Average, Tanzania, United Republic of, TZA
23.157, 1911, Dec Average, Tanzania, United Republic of, TZA
22.4571, 1912, Jan Average, Tanzania, United Republic of, TZA
22.1064, 1912, Feb Average, Tanzania, United Republic of, TZA
21.836, 1912, Mar Average, Tanzania, United Republic of, TZA
21.4207, 1912, Apr Average, Tanzania, United Republic of, TZA
21.0479, 1912, May Average, Tanzania, United Republic of, TZA
19.9262, 1912, Jun Average, Tanzania, United Republic of, TZA
18.9308, 1912, Jul Average, Tanzania, United Republic of, TZA
19.9162, 1912, Aug Average, Tanzania, United Republic of, TZA
21.4544, 1912, Sep Average, Tanzania, United Republic of, TZA
22.8041, 1912, Oct Average, Tanzania, United Republic of, TZA
23.0693, 1912, Nov Average, Tanzania, United Republic of, TZA
21.5725, 1912, Dec Average, Tanzania, United Republic of, TZA
20.8528, 1913, Jan Average, Tanzania, United Republic of, TZA
21.4646, 1913, Feb Average, Tanzania, United Republic of, TZA
20.8241, 1913, Mar Average, Tanzania, United Republic of, TZA
