Temperature - (Celsius), Year, Statistics, Country, ISO3
23.3128, 1901, Jan Average, Uganda, UGA
23.1073, 1901, Feb Average, Uganda, UGA
23.5887, 1901, Mar Average, Uganda, UGA
22.9867, 1901, Apr Average, Uganda, UGA
22.4772, 1901, May Average, Uganda, UGA
21.2483, 1901, Jun Average, Uganda, UGA
21.0465, 1901, Jul Average, Uganda, UGA
21.6171, 1901, Aug Average, Uganda, UGA
22.1899, 1901, Sep Average, Uganda, UGA
23.0307, 1901, Oct Average, Uganda, UGA
23.155, 1901, Nov Average, Uganda, UGA
23.5006, 1901, Dec Average, Uganda, UGA
22.9362, 1902, Jan Average, Uganda, UGA
23.4024, 1902, Feb Average, Uganda, UGA
23.2942, 1902, Mar Average, Uganda, UGA
22.2056, 1902, Apr Average, Uganda, UGA
23.2885, 1902, May Average, Uganda, UGA
23.3054, 1902, Jun Average, Uganda, UGA
22.6015, 1902, Jul Average, Uganda, UGA
23.1206, 1902, Aug Average, Uganda, UGA
22.8487, 1902, Sep Average, Uganda, UGA
22.8002, 1902, Oct Average, Uganda, UGA
22.3823, 1902, Nov Average, Uganda, UGA
21.8735, 1902, Dec Average, Uganda, UGA
23.8658, 1903, Jan Average, Uganda, UGA
23.8033, 1903, Feb Average, Uganda, UGA
23.4023, 1903, Mar Average, Uganda, UGA
23.099, 1903, Apr Average, Uganda, UGA
22.5187, 1903, May Average, Uganda, UGA
22.6462, 1903, Jun Average, Uganda, UGA
22.1153, 1903, Jul Average, Uganda, UGA
22.6904, 1903, Aug Average, Uganda, UGA
21.9795, 1903, Sep Average, Uganda, UGA
22.2271, 1903, Oct Average, Uganda, UGA
22.1951, 1903, Nov Average, Uganda, UGA
22.2208, 1903, Dec Average, Uganda, UGA
21.9203, 1904, Jan Average, Uganda, UGA
22.3856, 1904, Feb Average, Uganda, UGA
22.7139, 1904, Mar Average, Uganda, UGA
22.2078, 1904, Apr Average, Uganda, UGA
22.3844, 1904, May Average, Uganda, UGA
22.391, 1904, Jun Average, Uganda, UGA
21.9935, 1904, Jul Average, Uganda, UGA
22.4826, 1904, Aug Average, Uganda, UGA
21.8542, 1904, Sep Average, Uganda, UGA
20.6504, 1904, Oct Average, Uganda, UGA
21.3862, 1904, Nov Average, Uganda, UGA
21.4079, 1904, Dec Average, Uganda, UGA
23.1134, 1905, Jan Average, Uganda, UGA
22.6667, 1905, Feb Average, Uganda, UGA
22.7487, 1905, Mar Average, Uganda, UGA
21.9581, 1905, Apr Average, Uganda, UGA
21.896, 1905, May Average, Uganda, UGA
21.9849, 1905, Jun Average, Uganda, UGA
21.0354, 1905, Jul Average, Uganda, UGA
21.3662, 1905, Aug Average, Uganda, UGA
21.9692, 1905, Sep Average, Uganda, UGA
22.7049, 1905, Oct Average, Uganda, UGA
22.1469, 1905, Nov Average, Uganda, UGA
21.8576, 1905, Dec Average, Uganda, UGA
21.5056, 1906, Jan Average, Uganda, UGA
23.5321, 1906, Feb Average, Uganda, UGA
22.4665, 1906, Mar Average, Uganda, UGA
21.767, 1906, Apr Average, Uganda, UGA
21.8677, 1906, May Average, Uganda, UGA
21.1887, 1906, Jun Average, Uganda, UGA
20.0807, 1906, Jul Average, Uganda, UGA
20.7769, 1906, Aug Average, Uganda, UGA
21.3008, 1906, Sep Average, Uganda, UGA
22.1504, 1906, Oct Average, Uganda, UGA
22.2262, 1906, Nov Average, Uganda, UGA
22.1364, 1906, Dec Average, Uganda, UGA
22.0927, 1907, Jan Average, Uganda, UGA
22.4998, 1907, Feb Average, Uganda, UGA
22.9547, 1907, Mar Average, Uganda, UGA
22.305, 1907, Apr Average, Uganda, UGA
21.7099, 1907, May Average, Uganda, UGA
20.988, 1907, Jun Average, Uganda, UGA
20.5837, 1907, Jul Average, Uganda, UGA
20.3331, 1907, Aug Average, Uganda, UGA
21.4788, 1907, Sep Average, Uganda, UGA
22.5908, 1907, Oct Average, Uganda, UGA
22.1672, 1907, Nov Average, Uganda, UGA
21.7083, 1907, Dec Average, Uganda, UGA
23.0889, 1908, Jan Average, Uganda, UGA
23.6243, 1908, Feb Average, Uganda, UGA
23.5159, 1908, Mar Average, Uganda, UGA
