Temperature - (Celsius), Year, Statistics, Country, ISO3
-6.6196, 1901, Jan Average, Ukraine, UKR
-4.1718, 1901, Feb Average, Ukraine, UKR
2.30377, 1901, Mar Average, Ukraine, UKR
8.9475, 1901, Apr Average, Ukraine, UKR
15.2948, 1901, May Average, Ukraine, UKR
21.7621, 1901, Jun Average, Ukraine, UKR
21.1137, 1901, Jul Average, Ukraine, UKR
20.6625, 1901, Aug Average, Ukraine, UKR
13.6542, 1901, Sep Average, Ukraine, UKR
8.72683, 1901, Oct Average, Ukraine, UKR
1.00662, 1901, Nov Average, Ukraine, UKR
0.48656, 1901, Dec Average, Ukraine, UKR
-0.7607, 1902, Jan Average, Ukraine, UKR
-2.7888, 1902, Feb Average, Ukraine, UKR
0.96395, 1902, Mar Average, Ukraine, UKR
6.45815, 1902, Apr Average, Ukraine, UKR
13.0698, 1902, May Average, Ukraine, UKR
18.8741, 1902, Jun Average, Ukraine, UKR
18.5543, 1902, Jul Average, Ukraine, UKR
19.287, 1902, Aug Average, Ukraine, UKR
13.5256, 1902, Sep Average, Ukraine, UKR
6.93645, 1902, Oct Average, Ukraine, UKR
-2.7984, 1902, Nov Average, Ukraine, UKR
-7.3887, 1902, Dec Average, Ukraine, UKR
-4.6224, 1903, Jan Average, Ukraine, UKR
-0.497, 1903, Feb Average, Ukraine, UKR
2.96909, 1903, Mar Average, Ukraine, UKR
9.55019, 1903, Apr Average, Ukraine, UKR
15.0703, 1903, May Average, Ukraine, UKR
19.3017, 1903, Jun Average, Ukraine, UKR
20.5902, 1903, Jul Average, Ukraine, UKR
19.2325, 1903, Aug Average, Ukraine, UKR
15.2198, 1903, Sep Average, Ukraine, UKR
8.1898, 1903, Oct Average, Ukraine, UKR
3.07346, 1903, Nov Average, Ukraine, UKR
-3.406, 1903, Dec Average, Ukraine, UKR
-7.122, 1904, Jan Average, Ukraine, UKR
-0.5624, 1904, Feb Average, Ukraine, UKR
-0.9169, 1904, Mar Average, Ukraine, UKR
7.33471, 1904, Apr Average, Ukraine, UKR
12.9335, 1904, May Average, Ukraine, UKR
17.1392, 1904, Jun Average, Ukraine, UKR
19.5349, 1904, Jul Average, Ukraine, UKR
19.144, 1904, Aug Average, Ukraine, UKR
13.3126, 1904, Sep Average, Ukraine, UKR
9.06354, 1904, Oct Average, Ukraine, UKR
1.14156, 1904, Nov Average, Ukraine, UKR
-1.4613, 1904, Dec Average, Ukraine, UKR
-7.6553, 1905, Jan Average, Ukraine, UKR
-3.6857, 1905, Feb Average, Ukraine, UKR
-0.2206, 1905, Mar Average, Ukraine, UKR
7.10127, 1905, Apr Average, Ukraine, UKR
15.8351, 1905, May Average, Ukraine, UKR
19.7935, 1905, Jun Average, Ukraine, UKR
20.8014, 1905, Jul Average, Ukraine, UKR
20.9051, 1905, Aug Average, Ukraine, UKR
15.5061, 1905, Sep Average, Ukraine, UKR
8.73845, 1905, Oct Average, Ukraine, UKR
4.60233, 1905, Nov Average, Ukraine, UKR
-2.7941, 1905, Dec Average, Ukraine, UKR
