Temperature - (Celsius), Year, Statistics, Country, ISO3
21.9156, 1901, Jan Average, Uruguay, URY
22.4943, 1901, Feb Average, Uruguay, URY
21.1505, 1901, Mar Average, Uruguay, URY
15.7391, 1901, Apr Average, Uruguay, URY
14.6269, 1901, May Average, Uruguay, URY
13.7825, 1901, Jun Average, Uruguay, URY
11.1171, 1901, Jul Average, Uruguay, URY
11.2286, 1901, Aug Average, Uruguay, URY
15.0487, 1901, Sep Average, Uruguay, URY
17.3124, 1901, Oct Average, Uruguay, URY
18.8205, 1901, Nov Average, Uruguay, URY
21.9936, 1901, Dec Average, Uruguay, URY
23.1451, 1902, Jan Average, Uruguay, URY
24.2421, 1902, Feb Average, Uruguay, URY
21.1162, 1902, Mar Average, Uruguay, URY
18.7925, 1902, Apr Average, Uruguay, URY
15.9053, 1902, May Average, Uruguay, URY
13.1873, 1902, Jun Average, Uruguay, URY
10.8005, 1902, Jul Average, Uruguay, URY
9.12376, 1902, Aug Average, Uruguay, URY
13.8656, 1902, Sep Average, Uruguay, URY
15.5365, 1902, Oct Average, Uruguay, URY
18.8788, 1902, Nov Average, Uruguay, URY
21.6839, 1902, Dec Average, Uruguay, URY
22.3681, 1903, Jan Average, Uruguay, URY
23.0556, 1903, Feb Average, Uruguay, URY
22.1169, 1903, Mar Average, Uruguay, URY
16.5748, 1903, Apr Average, Uruguay, URY
13.7951, 1903, May Average, Uruguay, URY
11.7619, 1903, Jun Average, Uruguay, URY
10.924, 1903, Jul Average, Uruguay, URY
11.578, 1903, Aug Average, Uruguay, URY
15.5013, 1903, Sep Average, Uruguay, URY
15.1367, 1903, Oct Average, Uruguay, URY
18.7423, 1903, Nov Average, Uruguay, URY
20.8807, 1903, Dec Average, Uruguay, URY
22.2359, 1904, Jan Average, Uruguay, URY
21.5439, 1904, Feb Average, Uruguay, URY
20.4939, 1904, Mar Average, Uruguay, URY
18.6061, 1904, Apr Average, Uruguay, URY
13.8031, 1904, May Average, Uruguay, URY
11.6569, 1904, Jun Average, Uruguay, URY
12.5439, 1904, Jul Average, Uruguay, URY
11.26, 1904, Aug Average, Uruguay, URY
14.8584, 1904, Sep Average, Uruguay, URY
15.7022, 1904, Oct Average, Uruguay, URY
18.128, 1904, Nov Average, Uruguay, URY
20.1212, 1904, Dec Average, Uruguay, URY
21.9679, 1905, Jan Average, Uruguay, URY
21.8269, 1905, Feb Average, Uruguay, URY
21.5232, 1905, Mar Average, Uruguay, URY
16.8258, 1905, Apr Average, Uruguay, URY
12.7168, 1905, May Average, Uruguay, URY
11.8884, 1905, Jun Average, Uruguay, URY
9.70256, 1905, Jul Average, Uruguay, URY
11.86, 1905, Aug Average, Uruguay, URY
14.3824, 1905, Sep Average, Uruguay, URY
16.2208, 1905, Oct Average, Uruguay, URY
18.1732, 1905, Nov Average, Uruguay, URY
21.0634, 1905, Dec Average, Uruguay, URY
23.3361, 1906, Jan Average, Uruguay, URY
23.8467, 1906, Feb Average, Uruguay, URY
22.8475, 1906, Mar Average, Uruguay, URY
18.4028, 1906, Apr Average, Uruguay, URY
15.7175, 1906, May Average, Uruguay, URY
9.18516, 1906, Jun Average, Uruguay, URY
11.435, 1906, Jul Average, Uruguay, URY
12.4936, 1906, Aug Average, Uruguay, URY
13.4291, 1906, Sep Average, Uruguay, URY
16.8628, 1906, Oct Average, Uruguay, URY
18.8761, 1906, Nov Average, Uruguay, URY
20.6654, 1906, Dec Average, Uruguay, URY
23.8497, 1907, Jan Average, Uruguay, URY
23.5902, 1907, Feb Average, Uruguay, URY
21.0672, 1907, Mar Average, Uruguay, URY
17.2252, 1907, Apr Average, Uruguay, URY
12.2981, 1907, May Average, Uruguay, URY
10.271, 1907, Jun Average, Uruguay, URY
10.7299, 1907, Jul Average, Uruguay, URY
10.5269, 1907, Aug Average, Uruguay, URY
11.9744, 1907, Sep Average, Uruguay, URY
15.0343, 1907, Oct Average, Uruguay, URY
18.8307, 1907, Nov Average, Uruguay, URY
22.2013, 1907, Dec Average, Uruguay, URY
23.2626, 1908, Jan Average, Uruguay, URY
22.7138, 1908, Feb Average, Uruguay, URY
21.9708, 1908, Mar Average, Uruguay, URY
16.7807, 1908, Apr Average, Uruguay, URY
13.4798, 1908, May Average, Uruguay, URY
12.3576, 1908, Jun Average, Uruguay, URY
11.4787, 1908, Jul Average, Uruguay, URY
10.6045, 1908, Aug Average, Uruguay, URY
13.4898, 1908, Sep Average, Uruguay, URY
16.1837, 1908, Oct Average, Uruguay, URY
18.6016, 1908, Nov Average, Uruguay, URY
21.6625, 1908, Dec Average, Uruguay, URY
23.8591, 1909, Jan Average, Uruguay, URY
22.1974, 1909, Feb Average, Uruguay, URY
20.5643, 1909, Mar Average, Uruguay, URY
18.2031, 1909, Apr Average, Uruguay, URY
12.1346, 1909, May Average, Uruguay, URY
9.91754, 1909, Jun Average, Uruguay, URY
11.0172, 1909, Jul Average, Uruguay, URY
14.0724, 1909, Aug Average, Uruguay, URY
14.4368, 1909, Sep Average, Uruguay, URY
15.4228, 1909, Oct Average, Uruguay, URY
17.1637, 1909, Nov Average, Uruguay, URY
20.5188, 1909, Dec Average, Uruguay, URY
23.4308, 1910, Jan Average, Uruguay, URY
21.9988, 1910, Feb Average, Uruguay, URY
19.4478, 1910, Mar Average, Uruguay, URY
16.758, 1910, Apr Average, Uruguay, URY
