Temperature - (Celsius), Year, Statistics, Country, ISO3
25.4, 1901, Jan Average, St. Vincent and the Grenadines, VCT
25.4, 1901, Feb Average, St. Vincent and the Grenadines, VCT
25.91, 1901, Mar Average, St. Vincent and the Grenadines, VCT
27.01, 1901, Apr Average, St. Vincent and the Grenadines, VCT
27.69, 1901, May Average, St. Vincent and the Grenadines, VCT
27.56, 1901, Jun Average, St. Vincent and the Grenadines, VCT
27.57, 1901, Jul Average, St. Vincent and the Grenadines, VCT
27.58, 1901, Aug Average, St. Vincent and the Grenadines, VCT
26.9699, 1901, Sep Average, St. Vincent and the Grenadines, VCT
26.49, 1901, Oct Average, St. Vincent and the Grenadines, VCT
25.99, 1901, Nov Average, St. Vincent and the Grenadines, VCT
24.99, 1901, Dec Average, St. Vincent and the Grenadines, VCT
24.59, 1902, Jan Average, St. Vincent and the Grenadines, VCT
24.8, 1902, Feb Average, St. Vincent and the Grenadines, VCT
24.9, 1902, Mar Average, St. Vincent and the Grenadines, VCT
26.01, 1902, Apr Average, St. Vincent and the Grenadines, VCT
27.28, 1902, May Average, St. Vincent and the Grenadines, VCT
27.46, 1902, Jun Average, St. Vincent and the Grenadines, VCT
27.16, 1902, Jul Average, St. Vincent and the Grenadines, VCT
27.3799, 1902, Aug Average, St. Vincent and the Grenadines, VCT
26.78, 1902, Sep Average, St. Vincent and the Grenadines, VCT
26.2, 1902, Oct Average, St. Vincent and the Grenadines, VCT
26.2, 1902, Nov Average, St. Vincent and the Grenadines, VCT
25.49, 1902, Dec Average, St. Vincent and the Grenadines, VCT
24.8899, 1903, Jan Average, St. Vincent and the Grenadines, VCT
25, 1903, Feb Average, St. Vincent and the Grenadines, VCT
25, 1903, Mar Average, St. Vincent and the Grenadines, VCT
26.1, 1903, Apr Average, St. Vincent and the Grenadines, VCT
27.27, 1903, May Average, St. Vincent and the Grenadines, VCT
27.65, 1903, Jun Average, St. Vincent and the Grenadines, VCT
27.48, 1903, Jul Average, St. Vincent and the Grenadines, VCT
27.18, 1903, Aug Average, St. Vincent and the Grenadines, VCT
26.79, 1903, Sep Average, St. Vincent and the Grenadines, VCT
26.79, 1903, Oct Average, St. Vincent and the Grenadines, VCT
25.8899, 1903, Nov Average, St. Vincent and the Grenadines, VCT
25.08, 1903, Dec Average, St. Vincent and the Grenadines, VCT
24.3899, 1904, Jan Average, St. Vincent and the Grenadines, VCT
24.3, 1904, Feb Average, St. Vincent and the Grenadines, VCT
24.4, 1904, Mar Average, St. Vincent and the Grenadines, VCT
25.41, 1904, Apr Average, St. Vincent and the Grenadines, VCT
26.69, 1904, May Average, St. Vincent and the Grenadines, VCT
26.8699, 1904, Jun Average, St. Vincent and the Grenadines, VCT
26.98, 1904, Jul Average, St. Vincent and the Grenadines, VCT
26.68, 1904, Aug Average, St. Vincent and the Grenadines, VCT
26.6, 1904, Sep Average, St. Vincent and the Grenadines, VCT
25.9, 1904, Oct Average, St. Vincent and the Grenadines, VCT
26.19, 1904, Nov Average, St. Vincent and the Grenadines, VCT
25.19, 1904, Dec Average, St. Vincent and the Grenadines, VCT
24.79, 1905, Jan Average, St. Vincent and the Grenadines, VCT
24.1, 1905, Feb Average, St. Vincent and the Grenadines, VCT
24.6, 1905, Mar Average, St. Vincent and the Grenadines, VCT
26.3, 1905, Apr Average, St. Vincent and the Grenadines, VCT
26.58, 1905, May Average, St. Vincent and the Grenadines, VCT
27.16, 1905, Jun Average, St. Vincent and the Grenadines, VCT
27.27, 1905, Jul Average, St. Vincent and the Grenadines, VCT
27.3799, 1905, Aug Average, St. Vincent and the Grenadines, VCT
26.99, 1905, Sep Average, St. Vincent and the Grenadines, VCT
26.49, 1905, Oct Average, St. Vincent and the Grenadines, VCT
26.3899, 1905, Nov Average, St. Vincent and the Grenadines, VCT
24.8799, 1905, Dec Average, St. Vincent and the Grenadines, VCT
24.4, 1906, Jan Average, St. Vincent and the Grenadines, VCT
24.49, 1906, Feb Average, St. Vincent and the Grenadines, VCT
24.9, 1906, Mar Average, St. Vincent and the Grenadines, VCT
25.81, 1906, Apr Average, St. Vincent and the Grenadines, VCT
26.98, 1906, May Average, St. Vincent and the Grenadines, VCT
26.8699, 1906, Jun Average, St. Vincent and the Grenadines, VCT
26.8699, 1906, Jul Average, St. Vincent and the Grenadines, VCT
27.28, 1906, Aug Average, St. Vincent and the Grenadines, VCT
26.68, 1906, Sep Average, St. Vincent and the Grenadines, VCT
26.7, 1906, Oct Average, St. Vincent and the Grenadines, VCT
26.3899, 1906, Nov Average, St. Vincent and the Grenadines, VCT
24.5, 1906, Dec Average, St. Vincent and the Grenadines, VCT
24, 1907, Jan Average, St. Vincent and the Grenadines, VCT
24.01, 1907, Feb Average, St. Vincent and the Grenadines, VCT
24.3, 1907, Mar Average, St. Vincent and the Grenadines, VCT
25.41, 1907, Apr Average, St. Vincent and the Grenadines, VCT
26.18, 1907, May Average, St. Vincent and the Grenadines, VCT
26.86, 1907, Jun Average, St. Vincent and the Grenadines, VCT
27.06, 1907, Jul Average, St. Vincent and the Grenadines, VCT
26.98, 1907, Aug Average, St. Vincent and the Grenadines, VCT
26.69, 1907, Sep Average, St. Vincent and the Grenadines, VCT
26.3899, 1907, Oct Average, St. Vincent and the Grenadines, VCT
25.99, 1907, Nov Average, St. Vincent and the Grenadines, VCT
25.19, 1907, Dec Average, St. Vincent and the Grenadines, VCT
24.59, 1908, Jan Average, St. Vincent and the Grenadines, VCT
24.3, 1908, Feb Average, St. Vincent and the Grenadines, VCT
24.4, 1908, Mar Average, St. Vincent and the Grenadines, VCT
25.4, 1908, Apr Average, St. Vincent and the Grenadines, VCT
26.09, 1908, May Average, St. Vincent and the Grenadines, VCT
27.06, 1908, Jun Average, St. Vincent and the Grenadines, VCT
27.07, 1908, Jul Average, St. Vincent and the Grenadines, VCT
27.17, 1908, Aug Average, St. Vincent and the Grenadines, VCT
26.8799, 1908, Sep Average, St. Vincent and the Grenadines, VCT
26.29, 1908, Oct Average, St. Vincent and the Grenadines, VCT
25.79, 1908, Nov Average, St. Vincent and the Grenadines, VCT
25.4, 1908, Dec Average, St. Vincent and the Grenadines, VCT
24.3, 1909, Jan Average, St. Vincent and the Grenadines, VCT
24.2, 1909, Feb Average, St. Vincent and the Grenadines, VCT
25.3, 1909, Mar Average, St. Vincent and the Grenadines, VCT
25.61, 1909, Apr Average, St. Vincent and the Grenadines, VCT
26.78, 1909, May Average, St. Vincent and the Grenadines, VCT
26.66, 1909, Jun Average, St. Vincent and the Grenadines, VCT
26.8699, 1909, Jul Average, St. Vincent and the Grenadines, VCT
26.68, 1909, Aug Average, St. Vincent and the Grenadines, VCT
26.68, 1909, Sep Average, St. Vincent and the Grenadines, VCT
26.29, 1909, Oct Average, St. Vincent and the Grenadines, VCT
25.9, 1909, Nov Average, St. Vincent and the Grenadines, VCT
24.5, 1909, Dec Average, St. Vincent and the Grenadines, VCT
23.9, 1910, Jan Average, St. Vincent and the Grenadines, VCT
24.01, 1910, Feb Average, St. Vincent and the Grenadines, VCT
24.3, 1910, Mar Average, St. Vincent and the Grenadines, VCT
25.31, 1910, Apr Average, St. Vincent and the Grenadines, VCT
26.71, 1910, May Average, St. Vincent and the Grenadines, VCT
27.07, 1910, Jun Average, St. Vincent and the Grenadines, VCT
26.9699, 1910, Jul Average, St. Vincent and the Grenadines, VCT
27.08, 1910, Aug Average, St. Vincent and the Grenadines, VCT
26.3899, 1910, Sep Average, St. Vincent and the Grenadines, VCT
26.19, 1910, Oct Average, St. Vincent and the Grenadines, VCT
26.3899, 1910, Nov Average, St. Vincent and the Grenadines, VCT
25.49, 1910, Dec Average, St. Vincent and the Grenadines, VCT
24.2, 1911, Jan Average, St. Vincent and the Grenadines, VCT
24, 1911, Feb Average, St. Vincent and the Grenadines, VCT
24.62, 1911, Mar Average, St. Vincent and the Grenadines, VCT
25.51, 1911, Apr Average, St. Vincent and the Grenadines, VCT
26.29, 1911, May Average, St. Vincent and the Grenadines, VCT
27.3699, 1911, Jun Average, St. Vincent and the Grenadines, VCT
26.67, 1911, Jul Average, St. Vincent and the Grenadines, VCT
27.18, 1911, Aug Average, St. Vincent and the Grenadines, VCT
26.99, 1911, Sep Average, St. Vincent and the Grenadines, VCT
26.49, 1911, Oct Average, St. Vincent and the Grenadines, VCT
26.28, 1911, Nov Average, St. Vincent and the Grenadines, VCT
25.29, 1911, Dec Average, St. Vincent and the Grenadines, VCT
24.8899, 1912, Jan Average, St. Vincent and the Grenadines, VCT
24.8899, 1912, Feb Average, St. Vincent and the Grenadines, VCT
24.9, 1912, Mar Average, St. Vincent and the Grenadines, VCT
25.9, 1912, Apr Average, St. Vincent and the Grenadines, VCT
27.09, 1912, May Average, St. Vincent and the Grenadines, VCT
27.17, 1912, Jun Average, St. Vincent and the Grenadines, VCT
27.27, 1912, Jul Average, St. Vincent and the Grenadines, VCT
27.18, 1912, Aug Average, St. Vincent and the Grenadines, VCT
26.69, 1912, Sep Average, St. Vincent and the Grenadines, VCT
26.3899, 1912, Oct Average, St. Vincent and the Grenadines, VCT
25.99, 1912, Nov Average, St. Vincent and the Grenadines, VCT
25.3799, 1912, Dec Average, St. Vincent and the Grenadines, VCT
24.19, 1913, Jan Average, St. Vincent and the Grenadines, VCT
23.6, 1913, Feb Average, St. Vincent and the Grenadines, VCT
24.51, 1913, Mar Average, St. Vincent and the Grenadines, VCT
25.42, 1913, Apr Average, St. Vincent and the Grenadines, VCT
27.3899, 1913, May Average, St. Vincent and the Grenadines, VCT
26.68, 1913, Jun Average, St. Vincent and the Grenadines, VCT
26.27, 1913, Jul Average, St. Vincent and the Grenadines, VCT
26.3799, 1913, Aug Average, St. Vincent and the Grenadines, VCT
26.49, 1913, Sep Average, St. Vincent and the Grenadines, VCT
25.7, 1913, Oct Average, St. Vincent and the Grenadines, VCT
25.49, 1913, Nov Average, St. Vincent and the Grenadines, VCT
24.3899, 1913, Dec Average, St. Vincent and the Grenadines, VCT
24.3899, 1914, Jan Average, St. Vincent and the Grenadines, VCT
24.61, 1914, Feb Average, St. Vincent and the Grenadines, VCT
25.2, 1914, Mar Average, St. Vincent and the Grenadines, VCT
25.51, 1914, Apr Average, St. Vincent and the Grenadines, VCT
26.18, 1914, May Average, St. Vincent and the Grenadines, VCT
26.77, 1914, Jun Average, St. Vincent and the Grenadines, VCT
26.57, 1914, Jul Average, St. Vincent and the Grenadines, VCT
26.27, 1914, Aug Average, St. Vincent and the Grenadines, VCT
26.28, 1914, Sep Average, St. Vincent and the Grenadines, VCT
25.8899, 1914, Oct Average, St. Vincent and the Grenadines, VCT
25.69, 1914, Nov Average, St. Vincent and the Grenadines, VCT
25.49, 1914, Dec Average, St. Vincent and the Grenadines, VCT
24.79, 1915, Jan Average, St. Vincent and the Grenadines, VCT
24.6, 1915, Feb Average, St. Vincent and the Grenadines, VCT
25.6, 1915, Mar Average, St. Vincent and the Grenadines, VCT
26.01, 1915, Apr Average, St. Vincent and the Grenadines, VCT
27.09, 1915, May Average, St. Vincent and the Grenadines, VCT
27.27, 1915, Jun Average, St. Vincent and the Grenadines, VCT
27.06, 1915, Jul Average, St. Vincent and the Grenadines, VCT
27.58, 1915, Aug Average, St. Vincent and the Grenadines, VCT
26.98, 1915, Sep Average, St. Vincent and the Grenadines, VCT
26.8899, 1915, Oct Average, St. Vincent and the Grenadines, VCT
26.3899, 1915, Nov Average, St. Vincent and the Grenadines, VCT
25.48, 1915, Dec Average, St. Vincent and the Grenadines, VCT
24.3899, 1916, Jan Average, St. Vincent and the Grenadines, VCT
24.5, 1916, Feb Average, St. Vincent and the Grenadines, VCT
24.81, 1916, Mar Average, St. Vincent and the Grenadines, VCT
25.91, 1916, Apr Average, St. Vincent and the Grenadines, VCT
26.98, 1916, May Average, St. Vincent and the Grenadines, VCT
27.07, 1916, Jun Average, St. Vincent and the Grenadines, VCT
26.9699, 1916, Jul Average, St. Vincent and the Grenadines, VCT
26.77, 1916, Aug Average, St. Vincent and the Grenadines, VCT
