Temperature - (Celsius), Year, Statistics, Country, ISO3
25.5763, 1901, Jan Average, Vanuatu, VUT
24.8238, 1901, Feb Average, Vanuatu, VUT
25.1522, 1901, Mar Average, Vanuatu, VUT
25.9953, 1901, Apr Average, Vanuatu, VUT
24.5772, 1901, May Average, Vanuatu, VUT
22.7571, 1901, Jun Average, Vanuatu, VUT
22.2175, 1901, Jul Average, Vanuatu, VUT
22.1333, 1901, Aug Average, Vanuatu, VUT
24.1288, 1901, Sep Average, Vanuatu, VUT
24.8139, 1901, Oct Average, Vanuatu, VUT
23.4755, 1901, Nov Average, Vanuatu, VUT
24.0702, 1901, Dec Average, Vanuatu, VUT
25.7763, 1902, Jan Average, Vanuatu, VUT
25.6238, 1902, Feb Average, Vanuatu, VUT
24.5522, 1902, Mar Average, Vanuatu, VUT
23.3953, 1902, Apr Average, Vanuatu, VUT
22.1772, 1902, May Average, Vanuatu, VUT
22.1571, 1902, Jun Average, Vanuatu, VUT
21.8175, 1902, Jul Average, Vanuatu, VUT
21.1333, 1902, Aug Average, Vanuatu, VUT
21.8288, 1902, Sep Average, Vanuatu, VUT
23.1139, 1902, Oct Average, Vanuatu, VUT
23.5755, 1902, Nov Average, Vanuatu, VUT
25.8702, 1902, Dec Average, Vanuatu, VUT
25.5763, 1903, Jan Average, Vanuatu, VUT
26.2238, 1903, Feb Average, Vanuatu, VUT
25.1522, 1903, Mar Average, Vanuatu, VUT
24.4953, 1903, Apr Average, Vanuatu, VUT
23.7772, 1903, May Average, Vanuatu, VUT
23.0571, 1903, Jun Average, Vanuatu, VUT
23.1175, 1903, Jul Average, Vanuatu, VUT
22.4333, 1903, Aug Average, Vanuatu, VUT
22.9288, 1903, Sep Average, Vanuatu, VUT
24.2139, 1903, Oct Average, Vanuatu, VUT
24.1755, 1903, Nov Average, Vanuatu, VUT
24.8702, 1903, Dec Average, Vanuatu, VUT
24.7763, 1904, Jan Average, Vanuatu, VUT
