Temperature - (Celsius), Year, Statistics, Country, ISO3
18.5105, 1901, Jan Average, Yemen, YEM
19.6084, 1901, Feb Average, Yemen, YEM
21.103, 1901, Mar Average, Yemen, YEM
23.7626, 1901, Apr Average, Yemen, YEM
26.1565, 1901, May Average, Yemen, YEM
27.8833, 1901, Jun Average, Yemen, YEM
27.3836, 1901, Jul Average, Yemen, YEM
27.1015, 1901, Aug Average, Yemen, YEM
26.4925, 1901, Sep Average, Yemen, YEM
23.3041, 1901, Oct Average, Yemen, YEM
20.5671, 1901, Nov Average, Yemen, YEM
19.3675, 1901, Dec Average, Yemen, YEM
18.6314, 1902, Jan Average, Yemen, YEM
19.5045, 1902, Feb Average, Yemen, YEM
21.4249, 1902, Mar Average, Yemen, YEM
23.4043, 1902, Apr Average, Yemen, YEM
25.0816, 1902, May Average, Yemen, YEM
27.8728, 1902, Jun Average, Yemen, YEM
27.535, 1902, Jul Average, Yemen, YEM
27.5847, 1902, Aug Average, Yemen, YEM
26.8891, 1902, Sep Average, Yemen, YEM
23.2288, 1902, Oct Average, Yemen, YEM
19.471, 1902, Nov Average, Yemen, YEM
17.9688, 1902, Dec Average, Yemen, YEM
18.9621, 1903, Jan Average, Yemen, YEM
18.7967, 1903, Feb Average, Yemen, YEM
20.4301, 1903, Mar Average, Yemen, YEM
23.0872, 1903, Apr Average, Yemen, YEM
25.7989, 1903, May Average, Yemen, YEM
27.8507, 1903, Jun Average, Yemen, YEM
27.2128, 1903, Jul Average, Yemen, YEM
27.448, 1903, Aug Average, Yemen, YEM
26.163, 1903, Sep Average, Yemen, YEM
22.2787, 1903, Oct Average, Yemen, YEM
18.9144, 1903, Nov Average, Yemen, YEM
18.2672, 1903, Dec Average, Yemen, YEM
18.1538, 1904, Jan Average, Yemen, YEM
18.9923, 1904, Feb Average, Yemen, YEM
20.2984, 1904, Mar Average, Yemen, YEM
23.1369, 1904, Apr Average, Yemen, YEM
25.1852, 1904, May Average, Yemen, YEM
27.6713, 1904, Jun Average, Yemen, YEM
26.8821, 1904, Jul Average, Yemen, YEM
26.7516, 1904, Aug Average, Yemen, YEM
25.6689, 1904, Sep Average, Yemen, YEM
22.4901, 1904, Oct Average, Yemen, YEM
20.5355, 1904, Nov Average, Yemen, YEM
18.7297, 1904, Dec Average, Yemen, YEM
17.8153, 1905, Jan Average, Yemen, YEM
18.4195, 1905, Feb Average, Yemen, YEM
19.926, 1905, Mar Average, Yemen, YEM
23.3016, 1905, Apr Average, Yemen, YEM
25.3532, 1905, May Average, Yemen, YEM
27.5644, 1905, Jun Average, Yemen, YEM
27.2201, 1905, Jul Average, Yemen, YEM
26.8915, 1905, Aug Average, Yemen, YEM
26.0998, 1905, Sep Average, Yemen, YEM
23.5584, 1905, Oct Average, Yemen, YEM
