Temperature - (Celsius), Year, Statistics, Country, ISO3
23.423, 1901, Jan Average, Zambia, ZMB
23.1479, 1901, Feb Average, Zambia, ZMB
23.5907, 1901, Mar Average, Zambia, ZMB
22.076, 1901, Apr Average, Zambia, ZMB
19.9261, 1901, May Average, Zambia, ZMB
16.9501, 1901, Jun Average, Zambia, ZMB
16.6374, 1901, Jul Average, Zambia, ZMB
19.3788, 1901, Aug Average, Zambia, ZMB
21.9074, 1901, Sep Average, Zambia, ZMB
24.3192, 1901, Oct Average, Zambia, ZMB
24.1255, 1901, Nov Average, Zambia, ZMB
23.0676, 1901, Dec Average, Zambia, ZMB
22.7109, 1902, Jan Average, Zambia, ZMB
22.9221, 1902, Feb Average, Zambia, ZMB
22.8186, 1902, Mar Average, Zambia, ZMB
23.082, 1902, Apr Average, Zambia, ZMB
19.7944, 1902, May Average, Zambia, ZMB
18.0987, 1902, Jun Average, Zambia, ZMB
18.2023, 1902, Jul Average, Zambia, ZMB
20.1733, 1902, Aug Average, Zambia, ZMB
23.5862, 1902, Sep Average, Zambia, ZMB
23.5458, 1902, Oct Average, Zambia, ZMB
24.4248, 1902, Nov Average, Zambia, ZMB
23.8424, 1902, Dec Average, Zambia, ZMB
23.2139, 1903, Jan Average, Zambia, ZMB
23.5176, 1903, Feb Average, Zambia, ZMB
23.3581, 1903, Mar Average, Zambia, ZMB
23.2602, 1903, Apr Average, Zambia, ZMB
21.0167, 1903, May Average, Zambia, ZMB
17.9209, 1903, Jun Average, Zambia, ZMB
17.0753, 1903, Jul Average, Zambia, ZMB
20.1007, 1903, Aug Average, Zambia, ZMB
23.25, 1903, Sep Average, Zambia, ZMB
24.9546, 1903, Oct Average, Zambia, ZMB
23.9257, 1903, Nov Average, Zambia, ZMB
22.6245, 1903, Dec Average, Zambia, ZMB
21.9554, 1904, Jan Average, Zambia, ZMB
21.8343, 1904, Feb Average, Zambia, ZMB
21.4619, 1904, Mar Average, Zambia, ZMB
22.2033, 1904, Apr Average, Zambia, ZMB
19.1565, 1904, May Average, Zambia, ZMB
18.3719, 1904, Jun Average, Zambia, ZMB
16.3632, 1904, Jul Average, Zambia, ZMB
19.3929, 1904, Aug Average, Zambia, ZMB
21.3272, 1904, Sep Average, Zambia, ZMB
24.3339, 1904, Oct Average, Zambia, ZMB
24.631, 1904, Nov Average, Zambia, ZMB
22.004, 1904, Dec Average, Zambia, ZMB
23.1427, 1905, Jan Average, Zambia, ZMB
22.978, 1905, Feb Average, Zambia, ZMB
21.9356, 1905, Mar Average, Zambia, ZMB
21.2475, 1905, Apr Average, Zambia, ZMB
19.4289, 1905, May Average, Zambia, ZMB
18.8691, 1905, Jun Average, Zambia, ZMB
16.2293, 1905, Jul Average, Zambia, ZMB
20.0321, 1905, Aug Average, Zambia, ZMB
23.6075, 1905, Sep Average, Zambia, ZMB
26.2657, 1905, Oct Average, Zambia, ZMB
24.5972, 1905, Nov Average, Zambia, ZMB
23.7897, 1905, Dec Average, Zambia, ZMB
23.9738, 1906, Jan Average, Zambia, ZMB
