Temperature - (Celsius), Year, Statistics, Country, ISO3
24.7065, 1901, Jan Average, Zimbabwe, ZWE
24.0183, 1901, Feb Average, Zimbabwe, ZWE
23.6199, 1901, Mar Average, Zimbabwe, ZWE
21.6243, 1901, Apr Average, Zimbabwe, ZWE
18.7718, 1901, May Average, Zimbabwe, ZWE
15.4926, 1901, Jun Average, Zimbabwe, ZWE
15.2727, 1901, Jul Average, Zimbabwe, ZWE
17.967, 1901, Aug Average, Zimbabwe, ZWE
20.238, 1901, Sep Average, Zimbabwe, ZWE
23.3124, 1901, Oct Average, Zimbabwe, ZWE
24.0273, 1901, Nov Average, Zimbabwe, ZWE
23.5185, 1901, Dec Average, Zimbabwe, ZWE
23.7452, 1902, Jan Average, Zimbabwe, ZWE
23.6369, 1902, Feb Average, Zimbabwe, ZWE
22.8738, 1902, Mar Average, Zimbabwe, ZWE
22.6002, 1902, Apr Average, Zimbabwe, ZWE
18.3387, 1902, May Average, Zimbabwe, ZWE
16.2782, 1902, Jun Average, Zimbabwe, ZWE
16.8646, 1902, Jul Average, Zimbabwe, ZWE
18.4714, 1902, Aug Average, Zimbabwe, ZWE
22.243, 1902, Sep Average, Zimbabwe, ZWE
22.3207, 1902, Oct Average, Zimbabwe, ZWE
24.6015, 1902, Nov Average, Zimbabwe, ZWE
25.063, 1902, Dec Average, Zimbabwe, ZWE
24.3972, 1903, Jan Average, Zimbabwe, ZWE
24.356, 1903, Feb Average, Zimbabwe, ZWE
23.7161, 1903, Mar Average, Zimbabwe, ZWE
23.0118, 1903, Apr Average, Zimbabwe, ZWE
20.339, 1903, May Average, Zimbabwe, ZWE
16.2705, 1903, Jun Average, Zimbabwe, ZWE
15.7305, 1903, Jul Average, Zimbabwe, ZWE
18.4397, 1903, Aug Average, Zimbabwe, ZWE
21.5391, 1903, Sep Average, Zimbabwe, ZWE
24.0552, 1903, Oct Average, Zimbabwe, ZWE
24.0004, 1903, Nov Average, Zimbabwe, ZWE
23.4295, 1903, Dec Average, Zimbabwe, ZWE
23.0093, 1904, Jan Average, Zimbabwe, ZWE
22.453, 1904, Feb Average, Zimbabwe, ZWE
21.5272, 1904, Mar Average, Zimbabwe, ZWE
21.554, 1904, Apr Average, Zimbabwe, ZWE
17.8189, 1904, May Average, Zimbabwe, ZWE
16.9383, 1904, Jun Average, Zimbabwe, ZWE
14.9978, 1904, Jul Average, Zimbabwe, ZWE
17.5153, 1904, Aug Average, Zimbabwe, ZWE
19.3813, 1904, Sep Average, Zimbabwe, ZWE
23.6063, 1904, Oct Average, Zimbabwe, ZWE
25.0045, 1904, Nov Average, Zimbabwe, ZWE
22.7505, 1904, Dec Average, Zimbabwe, ZWE
24.2719, 1905, Jan Average, Zimbabwe, ZWE
23.5008, 1905, Feb Average, Zimbabwe, ZWE
21.8446, 1905, Mar Average, Zimbabwe, ZWE
20.8126, 1905, Apr Average, Zimbabwe, ZWE
18.2161, 1905, May Average, Zimbabwe, ZWE
17.436, 1905, Jun Average, Zimbabwe, ZWE
14.8014, 1905, Jul Average, Zimbabwe, ZWE
18.6216, 1905, Aug Average, Zimbabwe, ZWE
22.2959, 1905, Sep Average, Zimbabwe, ZWE
25.6416, 1905, Oct Average, Zimbabwe, ZWE
24.6932, 1905, Nov Average, Zimbabwe, ZWE
24.9109, 1905, Dec Average, Zimbabwe, ZWE
25.2719, 1906, Jan Average, Zimbabwe, ZWE
22.5652, 1906, Feb Average, Zimbabwe, ZWE
22.6184, 1906, Mar Average, Zimbabwe, ZWE
20.4951, 1906, Apr Average, Zimbabwe, ZWE
18.877, 1906, May Average, Zimbabwe, ZWE
16.0011, 1906, Jun Average, Zimbabwe, ZWE
15.3207, 1906, Jul Average, Zimbabwe, ZWE
17.1481, 1906, Aug Average, Zimbabwe, ZWE
20.7862, 1906, Sep Average, Zimbabwe, ZWE
22.7132, 1906, Oct Average, Zimbabwe, ZWE
22.6815, 1906, Nov Average, Zimbabwe, ZWE
23.6632, 1906, Dec Average, Zimbabwe, ZWE
23.684, 1907, Jan Average, Zimbabwe, ZWE
22.8488, 1907, Feb Average, Zimbabwe, ZWE
22.6213, 1907, Mar Average, Zimbabwe, ZWE
20.7336, 1907, Apr Average, Zimbabwe, ZWE
18.4365, 1907, May Average, Zimbabwe, ZWE
15.502, 1907, Jun Average, Zimbabwe, ZWE
13.7472, 1907, Jul Average, Zimbabwe, ZWE
15.9783, 1907, Aug Average, Zimbabwe, ZWE
20.3579, 1907, Sep Average, Zimbabwe, ZWE
23.3767, 1907, Oct Average, Zimbabwe, ZWE
23.6938, 1907, Nov Average, Zimbabwe, ZWE
23.4739, 1907, Dec Average, Zimbabwe, ZWE
23.5326, 1908, Jan Average, Zimbabwe, ZWE
23.0787, 1908, Feb Average, Zimbabwe, ZWE
22.7803, 1908, Mar Average, Zimbabwe, ZWE
21.2632, 1908, Apr Average, Zimbabwe, ZWE
17.3434, 1908, May Average, Zimbabwe, ZWE
16.715, 1908, Jun Average, Zimbabwe, ZWE
15.4561, 1908, Jul Average, Zimbabwe, ZWE
18.766, 1908, Aug Average, Zimbabwe, ZWE
21.9907, 1908, Sep Average, Zimbabwe, ZWE
25.0776, 1908, Oct Average, Zimbabwe, ZWE
24.4674, 1908, Nov Average, Zimbabwe, ZWE
24.1007, 1908, Dec Average, Zimbabwe, ZWE
23.6473, 1909, Jan Average, Zimbabwe, ZWE
23.4841, 1909, Feb Average, Zimbabwe, ZWE
22.4659, 1909, Mar Average, Zimbabwe, ZWE
20.1846, 1909, Apr Average, Zimbabwe, ZWE
18.3284, 1909, May Average, Zimbabwe, ZWE
15.1758, 1909, Jun Average, Zimbabwe, ZWE
15.8554, 1909, Jul Average, Zimbabwe, ZWE
18.4847, 1909, Aug Average, Zimbabwe, ZWE
20.6836, 1909, Sep Average, Zimbabwe, ZWE
23.7751, 1909, Oct Average, Zimbabwe, ZWE
23.9417, 1909, Nov Average, Zimbabwe, ZWE
24.6425, 1909, Dec Average, Zimbabwe, ZWE
23.6465, 1910, Jan Average, Zimbabwe, ZWE
23.2151, 1910, Feb Average, Zimbabwe, ZWE
22.3411, 1910, Mar Average, Zimbabwe, ZWE
20.3642, 1910, Apr Average, Zimbabwe, ZWE
17.3914, 1910, May Average, Zimbabwe, ZWE
15.6058, 1910, Jun Average, Zimbabwe, ZWE
15.1087, 1910, Jul Average, Zimbabwe, ZWE
17.8263, 1910, Aug Average, Zimbabwe, ZWE
20.3746, 1910, Sep Average, Zimbabwe, ZWE
22.6568, 1910, Oct Average, Zimbabwe, ZWE
22.4148, 1910, Nov Average, Zimbabwe, ZWE
23.6385, 1910, Dec Average, Zimbabwe, ZWE
22.9751, 1911, Jan Average, Zimbabwe, ZWE
22.6061, 1911, Feb Average, Zimbabwe, ZWE
21.6102, 1911, Mar Average, Zimbabwe, ZWE
20.0105, 1911, Apr Average, Zimbabwe, ZWE
17.6849, 1911, May Average, Zimbabwe, ZWE
14.3213, 1911, Jun Average, Zimbabwe, ZWE
14.1447, 1911, Jul Average, Zimbabwe, ZWE
16.9237, 1911, Aug Average, Zimbabwe, ZWE
19.5775, 1911, Sep Average, Zimbabwe, ZWE
24.5152, 1911, Oct Average, Zimbabwe, ZWE
24.6944, 1911, Nov Average, Zimbabwe, ZWE
26.0925, 1911, Dec Average, Zimbabwe, ZWE
24.5386, 1912, Jan Average, Zimbabwe, ZWE
24.5298, 1912, Feb Average, Zimbabwe, ZWE
22.1216, 1912, Mar Average, Zimbabwe, ZWE
22.4245, 1912, Apr Average, Zimbabwe, ZWE
20.4932, 1912, May Average, Zimbabwe, ZWE
15.3617, 1912, Jun Average, Zimbabwe, ZWE
14.6165, 1912, Jul Average, Zimbabwe, ZWE
16.8232, 1912, Aug Average, Zimbabwe, ZWE
20.8316, 1912, Sep Average, Zimbabwe, ZWE
23.1109, 1912, Oct Average, Zimbabwe, ZWE
26.6342, 1912, Nov Average, Zimbabwe, ZWE
23.9579, 1912, Dec Average, Zimbabwe, ZWE
24.4746, 1913, Jan Average, Zimbabwe, ZWE
24.0723, 1913, Feb Average, Zimbabwe, ZWE
22.4289, 1913, Mar Average, Zimbabwe, ZWE
21.4739, 1913, Apr Average, Zimbabwe, ZWE
18.7213, 1913, May Average, Zimbabwe, ZWE
15.2385, 1913, Jun Average, Zimbabwe, ZWE
16.2722, 1913, Jul Average, Zimbabwe, ZWE
18.1954, 1913, Aug Average, Zimbabwe, ZWE
21.4088, 1913, Sep Average, Zimbabwe, ZWE
24.5622, 1913, Oct Average, Zimbabwe, ZWE
24.9196, 1913, Nov Average, Zimbabwe, ZWE
26.2849, 1913, Dec Average, Zimbabwe, ZWE
25.1194, 1914, Jan Average, Zimbabwe, ZWE
23.2656, 1914, Feb Average, Zimbabwe, ZWE
23.8413, 1914, Mar Average, Zimbabwe, ZWE
23.1909, 1914, Apr Average, Zimbabwe, ZWE
19.2815, 1914, May Average, Zimbabwe, ZWE
16.7394, 1914, Jun Average, Zimbabwe, ZWE
15.2021, 1914, Jul Average, Zimbabwe, ZWE
17.6082, 1914, Aug Average, Zimbabwe, ZWE
22.8023, 1914, Sep Average, Zimbabwe, ZWE
25.2289, 1914, Oct Average, Zimbabwe, ZWE
25.3532, 1914, Nov Average, Zimbabwe, ZWE
24.5414, 1914, Dec Average, Zimbabwe, ZWE
24.2364, 1915, Jan Average, Zimbabwe, ZWE
23.2547, 1915, Feb Average, Zimbabwe, ZWE
22.3615, 1915, Mar Average, Zimbabwe, ZWE
22.0042, 1915, Apr Average, Zimbabwe, ZWE
17.9447, 1915, May Average, Zimbabwe, ZWE
16.2786, 1915, Jun Average, Zimbabwe, ZWE
16.8543, 1915, Jul Average, Zimbabwe, ZWE
17.8512, 1915, Aug Average, Zimbabwe, ZWE
21.3317, 1915, Sep Average, Zimbabwe, ZWE
24.6502, 1915, Oct Average, Zimbabwe, ZWE
25.1093, 1915, Nov Average, Zimbabwe, ZWE
24.6531, 1915, Dec Average, Zimbabwe, ZWE
24.0236, 1916, Jan Average, Zimbabwe, ZWE
25.2433, 1916, Feb Average, Zimbabwe, ZWE
23.8029, 1916, Mar Average, Zimbabwe, ZWE
21.4376, 1916, Apr Average, Zimbabwe, ZWE
17.9411, 1916, May Average, Zimbabwe, ZWE
16.3883, 1916, Jun Average, Zimbabwe, ZWE
16.0579, 1916, Jul Average, Zimbabwe, ZWE
17.204, 1916, Aug Average, Zimbabwe, ZWE
21.6328, 1916, Sep Average, Zimbabwe, ZWE
25.4579, 1916, Oct Average, Zimbabwe, ZWE
24.2702, 1916, Nov Average, Zimbabwe, ZWE
24.007, 1916, Dec Average, Zimbabwe, ZWE
23.9105, 1917, Jan Average, Zimbabwe, ZWE
24.3462, 1917, Feb Average, Zimbabwe, ZWE
23.2101, 1917, Mar Average, Zimbabwe, ZWE
21.3079, 1917, Apr Average, Zimbabwe, ZWE
19.5486, 1917, May Average, Zimbabwe, ZWE
16.9416, 1917, Jun Average, Zimbabwe, ZWE
15.9313, 1917, Jul Average, Zimbabwe, ZWE
17.4997, 1917, Aug Average, Zimbabwe, ZWE
20.6383, 1917, Sep Average, Zimbabwe, ZWE
24.6718, 1917, Oct Average, Zimbabwe, ZWE
24.8673, 1917, Nov Average, Zimbabwe, ZWE
22.6946, 1917, Dec Average, Zimbabwe, ZWE
22.1531, 1918, Jan Average, Zimbabwe, ZWE
22.866, 1918, Feb Average, Zimbabwe, ZWE
22.1941, 1918, Mar Average, Zimbabwe, ZWE
19.2445, 1918, Apr Average, Zimbabwe, ZWE
